 #	Zeit (s)	Temperatur 7 (°C)	Temperatur 8 (°C)
0.0000	19.13	20.65
10.0000	20.71	20.60
20.0000	23.41	20.58
30.0000	26.05	20.64
40.0000	28.31	20.76
50.0000	30.08	20.97
60.0000	31.54	21.27
70.0000	32.69	21.63
80.0000	33.61	22.02
90.0000	34.33	22.44
100.0000    34.93	22.85
110.0000    35.39	23.27
120.0000    35.77	23.68
130.0000    36.10	24.06
140.0000    36.37	24.45
150.0000    36.59	24.81
160.0000    36.77	25.14
170.0000    36.95	25.47
180.0000    37.11	25.78
190.0000    37.25	26.08
200.0000    37.37	26.37
210.0000    37.49	26.63
220.0000    37.60	26.88
230.0000    37.70	27.13
240.0000    37.80	27.36
250.0000    37.89	27.59
260.0000    37.98	27.80
270.0000    38.06	28.01
280.0000    38.13	28.20
290.0000    38.22	28.40
300.0000    38.31	28.59
310.0000    38.39	28.77
320.0000    38.47	28.95
330.0000    38.55	29.12
340.0000    38.63	29.29
350.0000    38.72	29.45
360.0000    38.80	29.61
370.0000    38.88	29.76
380.0000    38.95	29.91
390.0000    39.04	30.06
400.0000    39.11	30.20
410.0000    39.19	30.35
420.0000    39.27	30.48
430.0000    39.34	30.63
440.0000    39.42	30.76
450.0000    39.50	30.89
460.0000    39.57	31.02
470.0000    39.65	31.15
480.0000    39.73	31.27
490.0000    39.81	31.39
500.0000    39.88	31.51
510.0000    39.95	31.62
520.0000    40.02	31.74
530.0000    40.08	31.85
540.0000    40.16	31.96
550.0000    40.24	32.07
560.0000    40.31	32.18
570.0000    40.39	32.29
580.0000    40.46	32.39
590.0000    40.53	32.50
600.0000    40.60	32.59
610.0000    40.67	32.69
620.0000    40.75	32.79
630.0000    40.81	32.89
640.0000    40.89	32.98
650.0000    41.14	33.08
660.0000    41.46	33.18
670.0000    41.78	33.28
680.0000    42.06	33.39
690.0000    42.31	33.50
700.0000    42.54	33.62
710.0000    42.74	33.74
720.0000    42.93	33.87
730.0000    43.10	34.00
740.0000    43.26	34.13
750.0000    43.42	34.26
760.0000    43.56	34.39
770.0000    43.71	34.52
780.0000    43.84	34.64
790.0000    43.97	34.77
800.0000    44.10	34.89
810.0000    44.22	35.01
820.0000    44.34	35.13
830.0000    44.46	35.25
840.0000    44.58	35.36
850.0000    44.69	35.48
860.0000    44.81	35.60
870.0000    44.92	35.70
880.0000    45.03	35.82
890.0000    45.14	35.92
