# x(10^-3m) I(10^-6A)
-25 0.002
-24 0.002
-23 0.000
-22 0.000
-21 0.002
-20 0.002
-19 0.002
-18 0.000
-17 0.000
-16 0.002
-15 0.004
-14 0.006
-13 0.006
-12 0.004
-11 0.002
-10.5   0.004
-10     0.006
-9.5    0.010
-9      0.014
-8.5    0.016
-8      0.017
-7.5    0.016
-7      0.012
-6.5    0.008
-6      0.006
-5.5    0.010
-5      0.020
-4.5    0.040
-4      0.090
-3.5  0.140
-3  0.200
-2.5  0.280
-2  0.340
-1.5  0.420
-1  0.460
-0.5  0.500
0  0.520
0.5 0.500
1   0.460
1.5 0.400
2   0.340
2.5 0.260
3   0.200
3.5 0.120
4   0.060
4.5 0.040
5   0.014
5.5 0.006
6   0.004
6.5 0.008
7   0.014
7.5 0.018
8   0.020
8.5 0.018
9   0.016
9.5 0.012
10  0.008
11  0.002
12  0.004
13  0.006
14  0.006
15  0.004
16  0.002
17  0.002
18  0.004
19  0.004
20  0.002
21  0.002
22  0.000
23  0.000
24  0.002
25  0.002
