Zeit (s)	Temperatur 1 (°C)	Temperatur 2 (°C)
0.0000	    19.41	19.87
10.0000	    19.87	23.69
20.0000	    21.13	27.16
30.0000	    22.70	29.68
40.0000	    24.26	31.52
50.0000	    25.72	32.90
60.0000	    27.04	33.97
70.0000	    28.26	34.85
80.0000	    29.36	35.59
90.0000	    30.37	36.22
100.0000	31.27	36.77
110.0000	32.10	37.26
120.0000	32.84	37.69
130.0000	33.52	38.09
140.0000	34.15	38.46
150.0000	34.71	38.78
160.0000	35.23	39.08
170.0000	35.70	39.36
180.0000	36.13	39.61
190.0000	36.53	39.84
200.0000	36.90	40.05
210.0000	37.23	40.26
220.0000	37.54	40.45
230.0000	37.84	40.62
240.0000	38.10	40.79
250.0000	38.35	40.95
260.0000	38.59	41.09
270.0000	38.81	41.23
280.0000	39.01	41.36
290.0000	39.20	41.49
300.0000	39.38	41.60
310.0000	39.55	41.72
320.0000	39.71	41.83
330.0000	39.86	41.94
340.0000	40.00	42.03
350.0000	40.14	42.12
360.0000	40.26	42.22
370.0000	40.39	42.31
380.0000	40.50	42.40
390.0000	40.62	42.48
400.0000	40.72	42.56
410.0000	40.83	42.65
420.0000	40.93	42.72
430.0000	41.02	42.80
440.0000	41.12	42.88
450.0000	41.20	42.95
460.0000	41.29	43.02
470.0000	41.37	43.09
480.0000	41.45	43.16
490.0000	41.53	43.22
500.0000	41.60	43.29
510.0000	41.68	43.35
520.0000	41.76	43.42
530.0000	41.83	43.48
540.0000	41.89	43.54
550.0000	41.95	43.59
560.0000	42.02	43.66
570.0000	42.08	43.72
580.0000	42.15	43.78
590.0000	42.21	43.83
600.0000	42.28	43.89
610.0000	42.34	43.95
620.0000	42.40	44.00
630.0000	42.46	44.07
640.0000	42.53	44.25
650.0000	42.65	44.67
660.0000	42.83	45.03
670.0000	43.04	45.32
680.0000	43.25	45.57
690.0000	43.46	45.79
700.0000	43.65	45.99
710.0000	43.85	46.17
720.0000	44.03	46.33
730.0000	44.21	46.50
740.0000	44.38	46.65
750.0000	44.55	46.79
760.0000	44.71	46.94
770.0000	44.87	47.07
780.0000	45.01	47.21
790.0000	45.15	47.35
800.0000	45.30	47.48
810.0000	45.44	47.61
820.0000	45.57	47.74
830.0000	45.71	47.86
840.0000	45.83	47.98
850.0000	45.96	48.11
860.0000	46.09	48.22
870.0000	46.21	48.33
880.0000	46.33	48.44
890.0000	46.45	48.56
