#Zeit (s)	Temperatur 1 (°C)	Temperatur 4 (°C)
0.0000	    19.41	19.06
10.0000	    19.87	19.62
20.0000	    21.13	21.02
30.0000	    22.70	22.68
40.0000	    24.26	24.30
50.0000	    25.72	25.74
60.0000	    27.04	27.05
70.0000	    28.26	28.22
80.0000	    29.36	29.27
90.0000	    30.37	30.19
100.0000	31.27	31.00
110.0000	32.10	31.73
120.0000	32.84	32.36
130.0000	33.52	32.94
140.0000	34.15	33.45
150.0000	34.71	33.91
160.0000	35.23	34.31
170.0000	35.70	34.69
180.0000	36.13	35.03
190.0000	36.53	35.33
200.0000	36.90	35.62
210.0000	37.23	35.87
220.0000	37.54	36.10
230.0000	37.84	36.32
240.0000	38.10	36.53
250.0000	38.35	36.72
260.0000	38.59	36.89
270.0000	38.81	37.05
280.0000	39.01	37.20
290.0000	39.20	37.34
300.0000	39.38	37.48
310.0000	39.55	37.61
320.0000	39.71	37.74
330.0000	39.86	37.85
340.0000	40.00	37.97
350.0000	40.14	38.07
360.0000	40.26	38.17
370.0000	40.39	38.27
380.0000	40.50	38.36
390.0000	40.62	38.46
400.0000	40.72	38.56
410.0000	40.83	38.64
420.0000	40.93	38.73
430.0000	41.02	38.81
440.0000	41.12	38.89
450.0000	41.20	38.98
460.0000	41.29	39.05
470.0000	41.37	39.13
480.0000	41.45	39.20
490.0000	41.53	39.28
500.0000	41.60	39.35
510.0000	41.68	39.41
520.0000	41.76	39.48
530.0000	41.83	39.55
540.0000	41.89	39.62
550.0000	41.95	39.68
560.0000	42.02	39.75
570.0000	42.08	39.82
580.0000	42.15	39.88
590.0000	42.21	39.94
600.0000	42.28	40.00
610.0000	42.34	40.07
620.0000	42.40	40.13
630.0000	42.46	40.19
640.0000	42.53	40.26
650.0000	42.65	40.39
660.0000	42.83	40.58
670.0000	43.04	40.80
680.0000	43.25	41.01
690.0000	43.46	41.22
700.0000	43.65	41.41
710.0000	43.85	41.60
720.0000	44.03	41.78
730.0000	44.21	41.95
740.0000	44.38	42.11
750.0000	44.55	42.26
760.0000	44.71	42.42
770.0000	44.87	42.55
780.0000	45.01	42.69
790.0000	45.15	42.83
800.0000	45.30	42.96
810.0000	45.44	43.09
820.0000	45.57	43.21
830.0000	45.71	43.33
840.0000	45.83	43.45
850.0000	45.96	43.56
860.0000	46.09	43.67
870.0000	46.21	43.79
880.0000	46.33	43.90
890.0000	46.45	44.01
