# x(10^-3m)  I(10^-A)

-13     0.012
-12.5   0.004
-12     0.004
-11.5   0.006
-11     0.002
-10.5   0.002
-10     0.004
-9.5    0.002 
-9      0.004
-8.5    0.018 
-8      0.004
-7.5    0.030
-7      0.050
-6.5    0.006
-6      0.100
-5.5    0.100
-5      0.020
-4.5    0.220
-4      0.100
-3.5    0.060
-3      0.320
-2.5    0.060
-2      0.140
-1.5    0.400
-1      0.020
-0.5    0.300
0       0.360
0.5     0.020
1       0.300
1.5     0.240
2       0.040
2.5     0.300
3       0.140
3.5     0.040
4       0.2220
4.5     0.040
5       0.040
5.5     0.100
6       0.020
6.5     0.040
7       0.040
7.5     0.000
8       0.020
8.5     0.000
9       0.040
9.5     0.004
10      0.002
10.5    0.004
11      0.008
11.5    0.004
12      0.004
12.5    0.012
13      0.004
