# alpha(°)  I_r (mA)
85  0.1400
83  0.0900
82  0.0680
81  0.0440
80  0.0280
79  0.0180
78  0.0120
77  0.0074
76  0.0042
75  0.0030
74  0.0032
73  0.0040
72  0.0052
71  0.0072
70  0.0090
69  0.0100
68  0.0120
67  0.0140
66  0.0160
65  0.0160
64  0.0160
63  0.0180
61  0.0180
59  0.0180
57  0.0180
55  0.0140
53  0.0120
51  0.0100
49  0.0100
47  0.0120
45  0.0100
43  0.0100
41  0.0120
39  0.0140
37  0.0120
35  0.0100
33  0.0080
31  0.0100
29  0.0100
27  0.0120
25  0.0100
23  0.0100
21  0.0100
19  0.0100
17  0.0100
15  0.0120
13  0.0100
11  0.0100
9   0.0100
7   0.0100
5   0.0100
