# U/V   I/nA
-1.168  0.000
-1.160  0.004
-1.155  0.006
-1.150  0.010
-1.145  0.012
-1.140  0.014
-1.135  0.014
-1.130  0.016
-1.125  0.018
-1.120  0.022
-1.115  0.024
-1.110  0.028
-1.105  0.032
-1.100  0.034
-1.095  0.038
-1.090  0.042
-1.085  0.042
-1.080  0.044
-1.075  0.048
-1.070  0.052
-1.065  0.054
-1.060  0.058
-1.055  0.062
-1.050  0.064
-1.045  0.068
-1.040  0.072
-1.035  0.076
-1.030  0.078
-1.025  0.084
-1.020  0.088
-1.015  0.094
-1.010  0.098
-1.005  0.100
-1.000  0.100
-0.950  0.160
-0.900  0.240
-0.850  0.340
-0.800  0.460
-0.750  0.640
-0.700  0.820
-0.650  1.000
-0.600  1.200
-0.550  1.600
-0.500  2.000
-0.400  2.600
-0.300  3.400
-0.200  4.400
-0.100  5.400
0.000   6.200
0.100   7.200
0.200   8.200
0.300   9.200
0.400   10.00
0.500   12.00
1.000   14.00
1.500   20.00
5.000   50.00
10.00   70.00
15.00   80.00
19.14   90.00
