 
#Kristallwinkel	Rate bei 35kV theta/° R(35kV)/Imp/s
4.0     23.0
4.1     20.0
4.2     19.0
4.3     23.0
4.4     20.0
4.5     23.0
4.6     19.0
4.7     22.0
4.8     21.0
4.9     21.0
5.0     28.0
5.1     34.0
5.2     32.0
5.3     40.0
5.4     39.0
5.5     48.0
5.6     53.0
5.7     52.0
5.8     59.0
5.9     57.0
6.0     64.0
6.1     61.0
6.2     72.0
6.3     67.0
6.4     73.0
6.5     68.0
6.6     71.0
6.7     81.0
6.8     79.0
6.9     80.0
7.0     83.0
7.1     92.0
7.2     81.0
7.3     98.0
7.4     89.0
7.5     91.0
7.6     91.0
7.7     94.0
7.8     92.0
7.9     91.0
8.0     91.0
8.1     91.0
8.2     99.0
8.3     89.0
8.4     95.0
8.5     103.0
8.6     95.0
8.7     96.0
8.8     93.0
8.9     95.0
9.0     96.0
9.1     96.0
9.2     94.0
9.3     99.0
9.4     101.0
9.5     100.0
9.6     89.0
9.7     97.0
9.8     96.0
9.9     95.0
10.0	105.0
10.1	96.0
10.2	104.0
10.3	96.0
10.4	104.0
10.5	95.0
10.6	94.0
10.7	96.0
10.8	102.0
10.9	98.0
11.0	114.0
11.1	98.0
11.2	112.0
11.3	106.0
11.4	106.0
11.5	108.0
11.6	107.0
11.7	105.0
11.8	113.0
11.9	112.0
12.0	108.0
12.1	103.0
12.2	104.0
12.3	97.0
12.4	110.0
12.5	103.0
12.6	102.0
12.7	102.0
12.8	102.0
12.9	107.0
13.0	104.0
13.1	106.0
13.2	103.0
13.3	94.0
13.4	92.0
13.5	100.0
13.6	92.0
13.7	94.0
13.8	90.0
13.9	93.0
14.0	83.0
14.1	82.0
14.2	93.0
14.3	88.0
14.4	85.0
14.5	87.0
14.6	92.0
14.7	90.0
14.8	86.0
14.9	89.0
15.0	83.0
15.1	82.0
15.2	79.0
15.3	88.0
15.4	93.0
15.5	83.0
15.6	75.0
15.7	86.0
15.8	81.0
15.9	81.0
16.0	87.0
16.1	78.0
16.2	76.0
16.3	78.0
16.4	78.0
16.5	70.0
16.6	75.0
16.7	76.0
16.8	69.0
16.9	71.0
17.0	71.0
17.1	69.0
17.2	72.0
17.3	69.0
17.4	73.0
17.5	66.0
17.6	71.0
17.7	68.0
17.8	68.0
17.9	68.0
18.0	63.0
18.1	59.0
18.2	60.0
18.3	68.0
18.4	54.0
18.5	68.0
18.6	57.0
18.7	55.0
18.8	56.0
18.9	56.0
19.0	53.0
19.1	59.0
19.2	55.0
19.3	53.0
19.4	58.0
19.5	51.0
19.6	54.0
19.7	66.0
19.8	89.0
19.9	381.0
20.0	464.0
20.1	499.0
20.2	576.0
20.3	649.0
20.4	234.0
20.5	98.0
20.6	87.0
20.7	78.0
20.8	70.0
20.9	67.0
21.0	70.0
21.1	69.0
21.2	62.0
21.3	63.0
21.4	64.0
21.5	65.0
21.6	69.0
21.7	69.0
21.8	75.0
21.9	99.0
22.0	131.0
22.1	534.0
22.2	1403.0
22.3	1632.0
22.4	1727.0
22.5	2055.0
22.6	2109.0
22.7	717.0
22.8	159.0
22.9	72.0
23.0	67.0
23.1	58.0
23.2	55.0
23.3	51.0
23.4	52.0
23.5	44.0
23.6	45.0
23.7	43.0
23.8	44.0
23.9	38.0
24.0	39.0
24.1	38.0
24.2	37.0
24.3	41.0
24.4	36.0
24.5	34.0
24.6	37.0
24.7	35.0
24.8	33.0
24.9	33.0
25.0	35.0
25.1	26.0
25.2	27.0
25.3	29.0
25.4	28.0
25.5	30.0
25.6	27.0
25.7	29.0
25.8	32.0
25.9	30.0
26.0	26.0
26.1	28.0
26.2	26.0
26.3	26.0
26.4	27.0
26.5	28.0
26.6	26.0
26.7	25.0
26.8	23.0
26.9	25.0
27.0	25.0
27.1	27.0
27.2	24.0
27.3	21.0
27.4	19.0
27.5	22.0
27.6	21.0
27.7	20.0
27.8	20.0
27.9	22.0
28.0	23.0
28.1	20.0
28.2	20.0
28.3	16.0
28.4	17.0
28.5	21.0
28.6	18.0
28.7	16.0
28.8	18.0
28.9	18.0
29.0	19.0
29.1	16.0
29.2	19.0
29.3	19.0
29.4	19.0
29.5	17.0
29.6	15.0
29.7	14.0
29.8	16.0
29.9	13.0
30.0	17.0
