No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
9,	04:53:34,	8,	5.640E+01,	5.860E+01,	5.520E+01
10,	04:53:35,	9,	6.120E+01,	6.080E+01,	5.720E+01
11,	04:53:37,	10,	6.280E+01,	6.340E+01,	5.900E+01
12,	04:53:38,	11,	6.440E+01,	6.590E+01,	6.070E+01
13,	04:53:39,	12,	6.740E+01,	6.840E+01,	6.270E+01
14,	04:53:40,	13,	6.900E+01,	7.070E+01,	6.510E+01
15,	04:53:42,	14,	7.060E+01,	7.300E+01,	6.760E+01
16,	04:53:43,	15,	7.060E+01,	7.530E+01,	6.990E+01
17,	04:53:44,	16,	7.510E+01,	7.770E+01,	7.200E+01
18,	04:53:46,	17,	7.680E+01,	7.970E+01,	7.440E+01
19,	04:53:47,	18,	7.840E+01,	8.200E+01,	7.650E+01
20,	04:53:48,	19,	8.140E+01,	8.450E+01,	7.860E+01
21,	04:53:50,	20,	8.310E+01,	8.670E+01,	8.070E+01
22,	04:53:51,	21,	8.460E+01,	8.880E+01,	8.290E+01
23,	04:53:52,	22,	8.770E+01,	9.050E+01,	8.490E+01
24,	04:53:53,	23,	8.920E+01,	9.250E+01,	8.720E+01
25,	04:53:55,	24,	9.080E+01,	9.440E+01,	8.920E+01
26,	04:53:56,	25,	9.240E+01,	9.670E+01,	9.130E+01
27,	04:53:57,	26,	9.550E+01,	9.920E+01,	9.330E+01
28,	04:53:59,	27,	9.700E+01,	1.020E+02,	9.540E+01
29,	04:54:00,	28,	9.860E+01,	1.060E+02,	9.720E+01
30,	04:54:01,	29,	1.001E+02,	1.080E+02,	9.900E+01
31,	04:54:02,	30,	1.032E+02,	1.120E+02,	1.010E+02
32,	04:54:04,	31,	1.049E+02,	1.160E+02,	1.030E+02
33,	04:54:05,	33,	1.065E+02,	1.180E+02,	1.050E+02
34,	04:54:06,	34,	1.095E+02,	1.210E+02,	1.090E+02
35,	04:54:08,	35,	1.111E+02,	1.250E+02,	1.120E+02
36,	04:54:09,	36,	1.127E+02,	1.270E+02,	1.150E+02
37,	04:54:10,	37,	1.159E+02,	1.300E+02,	1.190E+02
38,	04:54:12,	38,	1.173E+02,	1.330E+02,	1.210E+02
39,	04:54:13,	39,	1.189E+02,	1.360E+02,	1.250E+02
40,	04:54:14,	40,	1.221E+02,	1.400E+02,	1.280E+02
41,	04:54:15,	41,	1.236E+02,	1.430E+02,	1.310E+02
42,	04:54:17,	42,	1.251E+02,	1.460E+02,	1.350E+02
43,	04:54:18,	43,	1.251E+02,	1.490E+02,	1.370E+02
44,	04:54:19,	44,	1.298E+02,	1.520E+02,	1.410E+02
45,	04:54:21,	45,	1.314E+02,	1.550E+02,	1.430E+02
46,	04:54:22,	46,	1.329E+02,	1.580E+02,	1.460E+02
47,	04:54:23,	47,	1.360E+02,	1.610E+02,	1.490E+02
48,	04:54:25,	48,	1.376E+02,	1.630E+02,	1.530E+02
49,	04:54:26,	49,	1.392E+02,	1.660E+02,	1.560E+02
50,	04:54:27,	50,	1.422E+02,	1.680E+02,	1.590E+02
51,	04:54:29,	51,	1.438E+02,	1.710E+02,	1.610E+02
52,	04:54:30,	52,	1.454E+02,	1.740E+02,	1.630E+02
53,	04:54:31,	53,	1.484E+02,	1.780E+02,	1.680E+02
54,	04:54:32,	54,	1.500E+02,	1.790E+02,	1.700E+02
55,	04:54:34,	55,	1.515E+02,	1.810E+02,	1.720E+02
56,	04:54:35,	56,	1.547E+02,	1.850E+02,	1.750E+02
57,	04:54:36,	57,	1.564E+02,	1.880E+02,	1.780E+02
58,	04:54:38,	58,	1.579E+02,	1.910E+02,	1.810E+02
59,	04:54:39,	59,	1.611E+02,	1.940E+02,	1.840E+02
60,	04:54:40,	60,	1.626E+02,	1.970E+02,	1.870E+02
61,	04:54:42,	61,	1.641E+02,	2.000E+02,	1.890E+02
62,	04:54:43,	62,	1.673E+02,	2.020E+02,	1.910E+02
63,	04:54:44,	63,	1.688E+02,	2.080E+02,	1.930E+02
64,	04:54:46,	64,	1.703E+02,	2.110E+02,	1.960E+02
65,	04:54:47,	65,	1.734E+02,	2.130E+02,	1.990E+02
66,	04:54:49,	66,	1.750E+02,	2.180E+02,	2.000E+02
67,	04:54:50,	67,	1.766E+02,	2.250E+02,	2.010E+02
68,	04:54:51,	68,	1.796E+02,	2.280E+02,	2.030E+02
69,	04:54:53,	69,	1.812E+02,	2.330E+02,	2.070E+02
70,	04:54:54,	70,	1.828E+02,	2.380E+02,	2.110E+02
71,	04:54:55,	71,	1.858E+02,	2.440E+02,	2.170E+02
72,	04:54:57,	72,	1.875E+02,	2.490E+02,	2.210E+02
73,	04:54:58,	73,	1.890E+02,	2.550E+02,	2.260E+02
74,	04:54:59,	74,	1.921E+02,	2.570E+02,	2.300E+02
75,	04:55:01,	75,	1.936E+02,	2.640E+02,	2.360E+02
76,	04:55:02,	76,	1.952E+02,	2.670E+02,	2.390E+02
77,	04:55:03,	77,	1.983E+02,	2.730E+02,	2.430E+02
78,	04:55:05,	78,	1.999E+02,	2.740E+02,	2.470E+02
79,	04:55:06,	79,	2.022E+02,	2.790E+02,	2.520E+02
80,	04:55:07,	80,	2.038E+02,	2.870E+02,	2.570E+02
81,	04:55:09,	81,	2.052E+02,	2.880E+02,	2.600E+02
82,	04:55:10,	82,	2.085E+02,	2.980E+02,	2.650E+02
83,	04:55:11,	83,	2.101E+02,	3.010E+02,	2.680E+02
84,	04:55:13,	84,	2.116E+02,	3.010E+02,	2.710E+02
85,	04:55:14,	85,	2.147E+02,	3.080E+02,	2.750E+02
86,	04:55:15,	86,	2.163E+02,	3.100E+02,	2.790E+02
87,	04:55:17,	87,	2.179E+02,	3.130E+02,	2.840E+02
88,	04:55:18,	88,	2.210E+02,	3.180E+02,	2.880E+02
89,	04:55:19,	89,	2.225E+02,	3.250E+02,	2.940E+02
90,	04:55:21,	90,	2.241E+02,	3.260E+02,	2.970E+02
91,	04:55:22,	91,	2.271E+02,	3.320E+02,	3.000E+02
92,	04:55:23,	92,	2.287E+02,	3.330E+02,	3.060E+02
93,	04:55:25,	93,	2.303E+02,	3.400E+02,	3.120E+02
94,	04:55:26,	94,	2.334E+02,	3.430E+02,	3.140E+02
95,	04:55:27,	95,	2.349E+02,	3.480E+02,	3.180E+02
96,	04:55:29,	96,	2.365E+02,	3.540E+02,	3.210E+02
97,	04:55:30,	98,	2.397E+02,	3.560E+02,	3.260E+02
98,	04:55:31,	99,	2.412E+02,	3.600E+02,	3.280E+02
99,	04:55:33,	100,	2.427E+02,	3.670E+02,	3.300E+02
100,	04:55:34,	101,	2.458E+02,	3.710E+02,	3.360E+02
101,	04:55:35,	102,	2.475E+02,	3.720E+02,	3.390E+02
102,	04:55:37,	103,	2.489E+02,	3.800E+02,	3.430E+02
103,	04:55:38,	104,	2.521E+02,	3.790E+02,	3.490E+02
104,	04:55:39,	105,	2.537E+02,	3.860E+02,	3.520E+02
