No,	 time,		 sec,druck,	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
5,	05:02:43,	4,	8.670E+01,	1.040E+02,	9.610E+01
6,	05:02:44,	5,	1.004E+02,	1.090E+02,	9.930E+01
7,	05:02:45,	6,	1.039E+02,	1.160E+02,	1.030E+02
8,	05:02:47,	7,	1.073E+02,	1.230E+02,	1.100E+02
9,	05:02:48,	8,	1.105E+02,	1.290E+02,	1.160E+02
10,	05:02:49,	9,	1.167E+02,	1.360E+02,	1.220E+02
11,	05:02:51,	10,	1.198E+02,	1.420E+02,	1.290E+02
12,	05:02:52,	11,	1.229E+02,	1.470E+02,	1.350E+02
13,	05:02:53,	12,	1.289E+02,	1.540E+02,	1.410E+02
14,	05:02:55,	13,	1.320E+02,	1.600E+02,	1.470E+02
15,	05:02:56,	14,	1.351E+02,	1.650E+02,	1.530E+02
16,	05:02:57,	15,	1.412E+02,	1.710E+02,	1.580E+02
17,	05:02:58,	16,	1.442E+02,	1.750E+02,	1.630E+02
18,	05:03:00,	17,	1.473E+02,	1.790E+02,	1.700E+02
19,	05:03:01,	18,	1.504E+02,	1.840E+02,	1.750E+02
20,	05:03:02,	19,	1.566E+02,	1.910E+02,	1.790E+02
21,	05:03:04,	20,	1.598E+02,	1.970E+02,	1.850E+02
22,	05:03:05,	21,	1.627E+02,	2.030E+02,	1.890E+02
23,	05:03:06,	22,	1.687E+02,	2.110E+02,	1.940E+02
24,	05:03:07,	23,	1.718E+02,	2.180E+02,	1.980E+02
25,	05:03:09,	24,	1.749E+02,	2.280E+02,	2.000E+02
26,	05:03:10,	25,	1.749E+02,	2.370E+02,	2.070E+02
27,	05:03:11,	26,	1.840E+02,	2.430E+02,	2.160E+02
28,	05:03:13,	27,	1.870E+02,	2.510E+02,	2.240E+02
29,	05:03:14,	28,	1.901E+02,	2.590E+02,	2.320E+02
30,	05:03:15,	29,	1.962E+02,	2.690E+02,	2.380E+02
31,	05:03:17,	30,	1.993E+02,	2.790E+02,	2.490E+02
32,	05:03:18,	31,	2.042E+02,	2.860E+02,	2.560E+02
33,	05:03:19,	33,	2.071E+02,	2.950E+02,	2.670E+02
34,	05:03:20,	34,	2.103E+02,	3.050E+02,	2.720E+02
35,	05:03:22,	35,	2.164E+02,	3.120E+02,	2.790E+02
36,	05:03:23,	36,	2.195E+02,	3.200E+02,	2.870E+02
37,	05:03:24,	37,	2.225E+02,	3.310E+02,	2.950E+02
38,	05:03:26,	38,	2.256E+02,	3.390E+02,	3.060E+02
39,	05:03:27,	39,	2.316E+02,	3.470E+02,	3.160E+02
40,	05:03:28,	40,	2.348E+02,	3.560E+02,	3.210E+02
41,	05:03:30,	41,	2.377E+02,	3.630E+02,	3.300E+02
42,	05:03:31,	42,	2.439E+02,	3.690E+02,	3.340E+02
43,	05:03:32,	43,	2.469E+02,	3.740E+02,	3.430E+02
44,	05:03:34,	44,	2.500E+02,	3.820E+02,	3.520E+02
45,	05:03:35,	45,	2.561E+02,	3.880E+02,	3.600E+02
46,	05:03:36,	46,	2.592E+02,	3.960E+02,	3.650E+02
47,	05:03:37,	47,	2.622E+02,	4.140E+02,	3.740E+02
48,	05:03:39,	48,	2.654E+02,	4.270E+02,	3.820E+02
49,	05:03:40,	49,	2.714E+02,	4.370E+02,	3.850E+02
50,	05:03:41,	50,	2.745E+02,	4.420E+02,	3.950E+02
51,	05:03:43,	51,	2.775E+02,	4.650E+02,	4.030E+02
52,	05:03:44,	52,	2.836E+02,	4.750E+02,	4.120E+02
53,	05:03:45,	53,	2.866E+02,	4.850E+02,	4.220E+02
54,	05:03:47,	54,	2.898E+02,	5.010E+02,	4.350E+02
55,	05:03:48,	55,	2.958E+02,	5.090E+02,	4.490E+02
56,	05:03:49,	56,	2.989E+02,	5.230E+02,	4.570E+02
57,	05:03:51,	57,	3.019E+02,	5.390E+02,	4.640E+02
58,	05:03:52,	58,	3.080E+02,	5.520E+02,	4.710E+02
59,	05:03:53,	59,	3.111E+02,	5.560E+02,	4.840E+02
60,	05:03:55,	60,	3.141E+02,	5.780E+02,	5.040E+02
61,	05:03:56,	61,	3.203E+02,	5.830E+02,	5.210E+02
62,	05:03:57,	62,	3.233E+02,	5.980E+02,	5.390E+02
63,	05:03:58,	63,	3.264E+02,	6.040E+02,	5.490E+02
64,	05:04:00,	64,	3.325E+02,	6.150E+02,	5.610E+02
65,	05:04:01,	65,	3.355E+02,	6.140E+02,	5.730E+02
66,	05:04:02,	66,	3.386E+02,	6.350E+02,	5.820E+02
67,	05:04:04,	67,	3.447E+02,	6.490E+02,	5.930E+02
68,	05:04:05,	68,	3.477E+02,	6.630E+02,	6.070E+02
69,	05:04:06,	69,	3.508E+02,	6.800E+02,	6.230E+02
70,	05:04:08,	70,	3.569E+02,	7.160E+02,	6.310E+02
71,	05:04:09,	71,	3.600E+02,	7.390E+02,	6.430E+02
72,	05:04:11,	72,	3.629E+02,	7.660E+02,	6.720E+02
73,	05:04:12,	73,	3.692E+02,	7.550E+02,	6.800E+02
74,	05:04:13,	74,	3.722E+02,	7.550E+02,	7.000E+02
75,	05:04:15,	75,	3.753E+02,	7.780E+02,	7.150E+02
76,	05:04:16,	76,	3.813E+02,	7.900E+02,	7.300E+02
77,	05:04:17,	77,	3.844E+02,	7.860E+02,	7.410E+02
78,	05:04:19,	78,	3.874E+02,	7.990E+02,	7.600E+02
79,	05:04:20,	79,	3.934E+02,	8.070E+02,	7.810E+02
80,	05:04:21,	80,	3.965E+02,	8.240E+02,	7.980E+02
81,	05:04:23,	81,	3.996E+02,	8.510E+02,	8.120E+02
82,	05:04:24,	82,	4.056E+02,	8.500E+02,	8.200E+02
83,	05:04:25,	83,	4.086E+02,	8.860E+02,	8.410E+02
84,	05:04:27,	84,	4.116E+02,	9.100E+02,	8.480E+02
