No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	05:41:23,	0,	4.400E-02,	1.930E-04,	2.340E-03
2,	05:41:24,	1,	4.400E-02,	1.930E-04,	2.340E-03
3,	05:41:26,	2,	4.400E-02,	1.930E-04,	2.340E-03
4,	05:41:27,	3,	4.400E-02,	1.930E-04,	2.340E-03
5,	05:41:28,	4,	4.400E-02,	1.930E-04,	2.330E-03
6,	05:41:30,	5,	4.400E-02,	1.930E-04,	2.340E-03
7,	05:41:31,	6,	4.400E-02,	1.190E-03,	2.350E-03
8,	05:41:32,	7,	3.800E-02,	1.580E-03,	2.520E-03
9,	05:41:34,	8,	3.200E-02,	1.760E-03,	2.710E-03
10,	05:41:35,	9,	3.000E-02,	1.990E-03,	2.880E-03
11,	05:41:36,	10,	2.900E-02,	2.190E-03,	3.040E-03
12,	05:41:37,	11,	2.800E-02,	2.390E-03,	3.220E-03
13,	05:41:39,	12,	2.700E-02,	2.550E-03,	3.340E-03
14,	05:41:40,	13,	2.600E-02,	2.730E-03,	3.500E-03
15,	05:41:41,	14,	2.600E-02,	2.940E-03,	3.710E-03
16,	05:41:43,	15,	2.600E-02,	3.110E-03,	3.910E-03
17,	05:41:44,	16,	2.500E-02,	3.320E-03,	4.110E-03
18,	05:41:45,	17,	2.500E-02,	3.530E-03,	4.300E-03
19,	05:41:46,	18,	2.500E-02,	3.740E-03,	4.510E-03
20,	05:41:48,	19,	2.500E-02,	3.970E-03,	4.730E-03
21,	05:41:49,	20,	2.500E-02,	4.220E-03,	5.020E-03
22,	05:41:50,	21,	2.500E-02,	4.450E-03,	5.200E-03
23,	05:41:52,	22,	2.500E-02,	4.640E-03,	5.350E-03
24,	05:41:53,	23,	2.400E-02,	4.760E-03,	5.540E-03
25,	05:41:54,	24,	2.400E-02,	4.840E-03,	5.770E-03
26,	05:41:56,	25,	2.400E-02,	4.980E-03,	5.980E-03
27,	05:41:57,	26,	2.400E-02,	5.180E-03,	6.200E-03
28,	05:41:58,	27,	2.400E-02,	5.370E-03,	6.360E-03
29,	05:41:59,	28,	2.400E-02,	5.590E-03,	6.480E-03
30,	05:42:01,	29,	2.400E-02,	5.830E-03,	6.690E-03
31,	05:42:02,	30,	2.400E-02,	6.010E-03,	6.880E-03
32,	05:42:03,	31,	2.400E-02,	6.280E-03,	7.080E-03
33,	05:42:05,	33,	2.400E-02,	6.490E-03,	7.320E-03
34,	05:42:06,	34,	2.400E-02,	6.790E-03,	7.600E-03
35,	05:42:07,	35,	2.400E-02,	7.110E-03,	7.850E-03
36,	05:42:08,	36,	2.400E-02,	7.530E-03,	8.080E-03
37,	05:42:10,	37,	2.400E-02,	7.910E-03,	8.330E-03
38,	05:42:11,	38,	2.400E-02,	8.190E-03,	8.450E-03
39,	05:42:12,	39,	2.400E-02,	8.480E-03,	8.770E-03
40,	05:42:14,	40,	2.300E-02,	8.820E-03,	9.030E-03
41,	05:42:15,	41,	2.300E-02,	9.060E-03,	9.290E-03
42,	05:42:16,	42,	2.300E-02,	9.390E-03,	9.650E-03
43,	05:42:18,	43,	2.300E-02,	9.700E-03,	9.980E-03
44,	05:42:19,	44,	2.300E-02,	9.960E-03,	1.020E-02
45,	05:42:20,	45,	2.300E-02,	1.010E-02,	1.040E-02
46,	05:42:22,	46,	2.300E-02,	1.020E-02,	1.050E-02
47,	05:42:23,	47,	2.300E-02,	1.040E-02,	1.060E-02
48,	05:42:24,	48,	2.300E-02,	1.050E-02,	1.070E-02
49,	05:42:25,	49,	2.300E-02,	1.060E-02,	1.090E-02
50,	05:42:27,	50,	2.300E-02,	1.080E-02,	1.100E-02
51,	05:42:28,	51,	2.300E-02,	1.090E-02,	1.110E-02
52,	05:42:29,	52,	2.300E-02,	1.100E-02,	1.130E-02
53,	05:42:31,	53,	2.300E-02,	1.120E-02,	1.140E-02
54,	05:42:32,	54,	2.300E-02,	1.130E-02,	1.160E-02
55,	05:42:33,	55,	2.300E-02,	1.150E-02,	1.170E-02
56,	05:42:35,	56,	2.300E-02,	1.170E-02,	1.190E-02
57,	05:42:36,	57,	2.300E-02,	1.180E-02,	1.200E-02
58,	05:42:37,	58,	2.300E-02,	1.200E-02,	1.220E-02
59,	05:42:39,	59,	2.300E-02,	1.210E-02,	1.230E-02
60,	05:42:40,	60,	2.300E-02,	1.220E-02,	1.240E-02
61,	05:42:41,	61,	2.300E-02,	1.240E-02,	1.260E-02
62,	05:42:43,	62,	2.300E-02,	1.250E-02,	1.280E-02
63,	05:42:44,	63,	2.300E-02,	1.270E-02,	1.290E-02
64,	05:42:45,	64,	2.300E-02,	1.290E-02,	1.310E-02
65,	05:42:47,	65,	2.300E-02,	1.300E-02,	1.330E-02
66,	05:42:48,	66,	2.300E-02,	1.320E-02,	1.350E-02
67,	05:42:49,	67,	2.300E-02,	1.340E-02,	1.360E-02
68,	05:42:51,	68,	2.300E-02,	1.350E-02,	1.370E-02
69,	05:42:52,	69,	2.300E-02,	1.370E-02,	1.390E-02
70,	05:42:53,	70,	2.300E-02,	1.390E-02,	1.410E-02
71,	05:42:55,	71,	2.300E-02,	1.410E-02,	1.420E-02
72,	05:42:56,	72,	2.200E-02,	1.430E-02,	1.440E-02
73,	05:42:57,	73,	2.200E-02,	1.450E-02,	1.460E-02
74,	05:42:59,	74,	2.200E-02,	1.470E-02,	1.480E-02
75,	05:43:00,	75,	2.200E-02,	1.490E-02,	1.500E-02
76,	05:43:01,	76,	2.200E-02,	1.510E-02,	1.510E-02
77,	05:43:03,	77,	2.200E-02,	1.520E-02,	1.520E-02
78,	05:43:04,	78,	2.200E-02,	1.540E-02,	1.540E-02
79,	05:43:05,	79,	2.200E-02,	1.560E-02,	1.560E-02
80,	05:43:07,	80,	2.200E-02,	1.580E-02,	1.570E-02
81,	05:43:08,	81,	2.200E-02,	1.610E-02,	1.590E-02
82,	05:43:10,	82,	2.200E-02,	1.630E-02,	1.610E-02
83,	05:43:11,	83,	2.200E-02,	1.660E-02,	1.630E-02
84,	05:43:12,	84,	2.200E-02,	1.680E-02,	1.650E-02
85,	05:43:14,	85,	2.200E-02,	1.700E-02,	1.660E-02
86,	05:43:15,	86,	2.200E-02,	1.720E-02,	1.680E-02
87,	05:43:16,	87,	2.200E-02,	1.740E-02,	1.700E-02
88,	05:43:17,	88,	2.200E-02,	1.770E-02,	1.720E-02
89,	05:43:19,	89,	2.200E-02,	1.780E-02,	1.740E-02
90,	05:43:20,	90,	2.200E-02,	1.800E-02,	1.760E-02
91,	05:43:22,	91,	2.200E-02,	1.830E-02,	1.780E-02
92,	05:43:23,	92,	2.200E-02,	1.850E-02,	1.800E-02
93,	05:43:24,	93,	2.200E-02,	1.870E-02,	1.820E-02
94,	05:43:26,	94,	2.200E-02,	1.890E-02,	1.850E-02
95,	05:43:27,	95,	2.200E-02,	1.920E-02,	1.870E-02
96,	05:43:28,	96,	2.200E-02,	1.930E-02,	1.890E-02
97,	05:43:30,	98,	2.200E-02,	1.950E-02,	1.910E-02
98,	05:43:31,	99,	2.200E-02,	1.980E-02,	1.920E-02
99,	05:43:32,	100,	2.200E-02,	1.990E-02,	1.950E-02
100,	05:43:34,	101,	2.200E-02,	2.010E-02,	1.970E-02
101,	05:43:35,	102,	2.200E-02,	2.020E-02,	1.990E-02
102,	05:43:36,	103,	2.200E-02,	2.040E-02,	2.020E-02
103,	05:43:38,	104,	2.200E-02,	2.060E-02,	2.040E-02
104,	05:43:39,	105,	2.200E-02,	2.070E-02,	2.070E-02
105,	05:43:40,	106,	2.200E-02,	2.090E-02,	2.100E-02
106,	05:43:42,	107,	2.200E-02,	2.100E-02,	2.110E-02
107,	05:43:43,	108,	2.200E-02,	2.120E-02,	2.130E-02
108,	05:43:44,	109,	2.200E-02,	2.140E-02,	2.140E-02
109,	05:43:46,	110,	2.200E-02,	2.150E-02,	2.160E-02
110,	05:43:47,	111,	2.200E-02,	2.170E-02,	2.170E-02
111,	05:43:48,	112,	2.200E-02,	2.180E-02,	2.190E-02
112,	05:43:50,	113,	2.200E-02,	2.200E-02,	2.200E-02
113,	05:43:51,	114,	2.200E-02,	2.220E-02,	2.210E-02
114,	05:43:52,	115,	2.200E-02,	2.230E-02,	2.230E-02
115,	05:43:54,	116,	2.200E-02,	2.250E-02,	2.250E-02
116,	05:43:55,	117,	2.200E-02,	2.260E-02,	2.260E-02
117,	05:43:56,	118,	2.200E-02,	2.280E-02,	2.280E-02
118,	05:43:58,	119,	2.200E-02,	2.300E-02,	2.290E-02
119,	05:43:59,	120,	2.200E-02,	2.310E-02,	2.310E-02
120,	05:44:00,	121,	2.200E-02,	2.330E-02,	2.320E-02
121,	05:44:02,	122,	2.200E-02,	2.350E-02,	2.330E-02
122,	05:44:03,	123,	2.200E-02,	2.370E-02,	2.350E-02
123,	05:44:05,	124,	2.100E-02,	2.380E-02,	2.370E-02
124,	05:44:06,	125,	2.100E-02,	2.400E-02,	2.390E-02
125,	05:44:07,	126,	2.100E-02,	2.420E-02,	2.410E-02
126,	05:44:09,	127,	2.100E-02,	2.440E-02,	2.420E-02
127,	05:44:10,	128,	2.100E-02,	2.450E-02,	2.440E-02
128,	05:44:11,	129,	2.100E-02,	2.470E-02,	2.460E-02
129,	05:44:13,	130,	2.100E-02,	2.490E-02,	2.470E-02
130,	05:44:14,	131,	2.100E-02,	2.510E-02,	2.490E-02
131,	05:44:16,	132,	2.100E-02,	2.530E-02,	2.510E-02
132,	05:44:17,	133,	2.100E-02,	2.550E-02,	2.520E-02
133,	05:44:18,	134,	2.100E-02,	2.570E-02,	2.540E-02
134,	05:44:20,	135,	2.100E-02,	2.590E-02,	2.560E-02
135,	05:44:21,	136,	2.100E-02,	2.610E-02,	2.570E-02
136,	05:44:23,	137,	2.100E-02,	2.640E-02,	2.590E-02
137,	05:44:24,	138,	2.100E-02,	2.650E-02,	2.610E-02
138,	05:44:25,	139,	2.100E-02,	2.660E-02,	2.630E-02
139,	05:44:27,	140,	2.100E-02,	2.680E-02,	2.650E-02
140,	05:44:28,	141,	2.100E-02,	2.700E-02,	2.660E-02
141,	05:44:30,	142,	2.100E-02,	2.720E-02,	2.680E-02
142,	05:44:31,	143,	2.100E-02,	2.740E-02,	2.700E-02
143,	05:44:32,	144,	2.100E-02,	2.760E-02,	2.710E-02
