No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
11,	12:57:39,	10,	2.300E-01,	4.990E-03,	1.090E-02
12,	12:57:40,	11,	2.300E-01,	3.270E-03,	6.250E-03
13,	12:57:41,	12,	1.800E-01,	1.580E-03,	2.690E-03
14,	12:57:43,	13,	1.500E-01,	8.620E-04,	1.530E-03
15,	12:57:44,	14,	1.200E-01,	5.150E-04,	9.430E-04
16,	12:57:45,	15,	8.400E-02,	3.420E-04,	5.900E-04
17,	12:57:46,	16,	7.000E-02,	2.320E-04,	3.930E-04
18,	12:57:48,	17,	5.900E-02,	1.550E-04,	2.950E-04
19,	12:57:49,	18,	5.100E-02,	1.050E-04,	2.160E-04
20,	12:57:50,	19,	3.900E-02,	7.300E-05,	1.580E-04
21,	12:57:52,	20,	3.400E-02,	5.260E-05,	1.190E-04
22,	12:57:53,	21,	3.100E-02,	3.880E-05,	9.090E-05
23,	12:57:54,	22,	2.600E-02,	3.080E-05,	7.590E-05
24,	12:57:55,	23,	2.500E-02,	2.330E-05,	6.570E-05
25,	12:57:57,	24,	2.300E-02,	1.970E-05,	5.610E-05
26,	12:57:58,	25,	2.200E-02,	1.740E-05,	4.900E-05
27,	12:57:59,	26,	2.100E-02,	1.540E-05,	4.420E-05
28,	12:58:01,	27,	2.100E-02,	1.420E-05,	4.080E-05
29,	12:58:02,	28,	2.000E-02,	1.340E-05,	4.020E-05
30,	12:58:03,	29,	2.000E-02,	1.270E-05,	3.830E-05
31,	12:58:05,	30,	2.000E-02,	1.220E-05,	3.680E-05
32,	12:58:06,	31,	2.000E-02,	1.180E-05,	3.570E-05
33,	12:58:07,	33,	1.900E-02,	1.150E-05,	3.470E-05
34,	12:58:08,	34,	1.900E-02,	1.120E-05,	3.390E-05
35,	12:58:10,	35,	1.900E-02,	1.100E-05,	3.330E-05
36,	12:58:11,	36,	1.900E-02,	1.090E-05,	3.260E-05
37,	12:58:12,	37,	1.900E-02,	1.060E-05,	3.210E-05
38,	12:58:14,	38,	1.900E-02,	1.040E-05,	3.150E-05
39,	12:58:15,	39,	1.900E-02,	1.030E-05,	3.110E-05
40,	12:58:16,	40,	1.900E-02,	1.020E-05,	3.070E-05
41,	12:58:18,	41,	1.900E-02,	1.000E-05,	3.030E-05
42,	12:58:19,	42,	1.900E-02,	7.930E-06,	2.990E-05
43,	12:58:20,	43,	1.900E-02,	7.710E-06,	2.950E-05
44,	12:58:21,	44,	1.900E-02,	7.630E-06,	2.920E-05
45,	12:58:23,	45,	1.900E-02,	7.540E-06,	2.880E-05
46,	12:58:24,	46,	1.900E-02,	7.490E-06,	2.860E-05
47,	12:58:25,	47,	1.900E-02,	7.340E-06,	2.830E-05
48,	12:58:27,	48,	1.900E-02,	7.310E-06,	2.800E-05
49,	12:58:28,	49,	1.900E-02,	7.220E-06,	2.770E-05
50,	12:58:29,	50,	1.900E-02,	7.110E-06,	2.740E-05
51,	12:58:31,	51,	1.900E-02,	7.030E-06,	2.710E-05
52,	12:58:32,	52,	1.900E-02,	6.980E-06,	2.690E-05
53,	12:58:33,	53,	1.900E-02,	6.850E-06,	2.670E-05
54,	12:58:34,	54,	1.900E-02,	6.780E-06,	2.640E-05
55,	12:58:36,	55,	1.900E-02,	6.710E-06,	2.620E-05
56,	12:58:37,	56,	1.900E-02,	6.660E-06,	2.600E-05
57,	12:58:38,	57,	1.900E-02,	6.600E-06,	2.580E-05
58,	12:58:40,	58,	1.900E-02,	6.540E-06,	2.560E-05
59,	12:58:41,	59,	1.900E-02,	6.480E-06,	2.540E-05
60,	12:58:42,	60,	1.900E-02,	6.410E-06,	2.530E-05
61,	12:58:44,	61,	1.900E-02,	6.370E-06,	2.510E-05
62,	12:58:45,	62,	1.900E-02,	6.320E-06,	2.490E-05
63,	12:58:46,	63,	1.900E-02,	6.290E-06,	2.480E-05
64,	12:58:48,	64,	1.900E-02,	6.200E-06,	2.460E-05
65,	12:58:49,	65,	1.900E-02,	6.150E-06,	2.440E-05
66,	12:58:50,	66,	1.900E-02,	6.130E-06,	2.430E-05
67,	12:58:52,	67,	1.900E-02,	6.080E-06,	2.420E-05
68,	12:58:53,	68,	1.900E-02,	6.020E-06,	2.400E-05
69,	12:58:54,	69,	1.900E-02,	5.960E-06,	2.390E-05
70,	12:58:56,	70,	1.900E-02,	5.920E-06,	2.380E-05
71,	12:58:57,	71,	1.800E-02,	5.890E-06,	2.360E-05
72,	12:58:58,	72,	1.800E-02,	5.850E-06,	2.350E-05
73,	12:59:00,	73,	1.800E-02,	5.820E-06,	2.340E-05
74,	12:59:01,	74,	1.800E-02,	5.780E-06,	2.320E-05
75,	12:59:02,	75,	1.800E-02,	5.740E-06,	2.310E-05
76,	12:59:04,	76,	1.800E-02,	5.730E-06,	2.300E-05
77,	12:59:05,	77,	1.800E-02,	5.690E-06,	2.290E-05
78,	12:59:06,	78,	1.800E-02,	5.660E-06,	2.280E-05
79,	12:59:08,	79,	1.800E-02,	5.630E-06,	2.270E-05
80,	12:59:09,	80,	1.800E-02,	5.610E-06,	2.260E-05
81,	12:59:10,	81,	1.800E-02,	5.590E-06,	2.250E-05
82,	12:59:12,	82,	1.800E-02,	5.550E-06,	2.240E-05
83,	12:59:13,	83,	1.800E-02,	5.530E-06,	2.230E-05
84,	12:59:14,	84,	1.800E-02,	5.510E-06,	2.220E-05
85,	12:59:16,	85,	1.800E-02,	5.480E-06,	2.210E-05
86,	12:59:17,	86,	1.800E-02,	5.460E-06,	2.210E-05
87,	12:59:18,	87,	1.800E-02,	5.430E-06,	2.200E-05
88,	12:59:20,	88,	1.800E-02,	5.410E-06,	2.190E-05
89,	12:59:21,	89,	1.800E-02,	5.380E-06,	2.180E-05
90,	12:59:22,	90,	1.800E-02,	5.360E-06,	2.170E-05
91,	12:59:24,	91,	1.800E-02,	5.330E-06,	2.170E-05
92,	12:59:25,	92,	1.800E-02,	5.320E-06,	2.160E-05
93,	12:59:26,	93,	1.800E-02,	5.280E-06,	2.150E-05
94,	12:59:28,	94,	1.800E-02,	5.270E-06,	2.140E-05
95,	12:59:29,	95,	1.800E-02,	5.250E-06,	2.140E-05
96,	12:59:30,	96,	1.800E-02,	5.220E-06,	2.130E-05
97,	12:59:32,	98,	1.800E-02,	5.210E-06,	2.120E-05
98,	12:59:33,	99,	1.800E-02,	5.180E-06,	2.110E-05
99,	12:59:34,	100,	1.800E-02,	5.160E-06,	2.110E-05
100,	12:59:36,	101,	1.800E-02,	5.150E-06,	2.100E-05
101,	12:59:37,	102,	1.800E-02,	5.130E-06,	2.090E-05
102,	12:59:38,	103,	1.800E-02,	5.100E-06,	2.090E-05
103,	12:59:40,	104,	1.800E-02,	5.080E-06,	2.080E-05
104,	12:59:41,	105,	1.800E-02,	5.060E-06,	2.070E-05
105,	12:59:42,	106,	1.800E-02,	5.040E-06,	2.070E-05
106,	12:59:44,	107,	1.800E-02,	5.010E-06,	2.060E-05
107,	12:59:45,	108,	1.800E-02,	5.010E-06,	2.050E-05
108,	12:59:46,	109,	1.800E-02,	4.990E-06,	2.050E-05
109,	12:59:48,	110,	1.800E-02,	4.980E-06,	2.040E-05
110,	12:59:49,	111,	1.800E-02,	4.960E-06,	2.040E-05
111,	12:59:50,	112,	1.800E-02,	4.940E-06,	2.030E-05
112,	12:59:52,	113,	1.800E-02,	4.930E-06,	2.020E-05
