No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	01:39:19,	0,	2.200E-02,	5.010E-05,	1.750E-04
2,	01:39:21,	1,	2.200E-02,	5.010E-05,	1.750E-04
3,	01:39:22,	2,	2.200E-02,	5.000E-05,	1.750E-04
4,	01:39:24,	3,	2.200E-02,	5.010E-05,	1.750E-04
5,	01:39:25,	4,	2.200E-02,	4.990E-05,	1.750E-04
6,	01:39:26,	5,	2.200E-02,	5.000E-05,	1.750E-04
7,	01:39:28,	6,	2.200E-02,	8.740E-05,	1.960E-04
8,	01:39:29,	7,	2.200E-02,	1.180E-04,	2.360E-04
9,	01:39:30,	8,	1.900E-02,	1.480E-04,	2.730E-04
10,	01:39:31,	9,	1.800E-02,	1.790E-04,	3.090E-04
11,	01:39:33,	10,	1.800E-02,	2.060E-04,	3.460E-04
12,	01:39:34,	11,	1.700E-02,	2.340E-04,	3.850E-04
13,	01:39:35,	12,	1.700E-02,	2.620E-04,	4.210E-04
14,	01:39:37,	13,	1.700E-02,	2.870E-04,	4.560E-04
15,	01:39:38,	14,	1.700E-02,	3.120E-04,	4.940E-04
16,	01:39:39,	15,	1.700E-02,	3.380E-04,	5.300E-04
17,	01:39:40,	16,	1.700E-02,	3.660E-04,	5.630E-04
18,	01:39:42,	17,	1.700E-02,	3.920E-04,	5.970E-04
19,	01:39:43,	18,	1.700E-02,	4.150E-04,	6.300E-04
20,	01:39:44,	19,	1.700E-02,	4.400E-04,	6.630E-04
21,	01:39:46,	20,	1.700E-02,	4.630E-04,	7.020E-04
22,	01:39:47,	21,	1.700E-02,	4.880E-04,	7.400E-04
23,	01:39:48,	22,	1.700E-02,	5.120E-04,	7.850E-04
24,	01:39:50,	23,	1.700E-02,	5.340E-04,	8.270E-04
25,	01:39:51,	24,	1.700E-02,	5.570E-04,	8.720E-04
26,	01:39:52,	25,	1.700E-02,	5.810E-04,	9.190E-04
27,	01:39:53,	26,	1.700E-02,	6.060E-04,	9.570E-04
28,	01:39:55,	27,	1.700E-02,	6.370E-04,	1.000E-03
29,	01:39:56,	28,	1.700E-02,	6.680E-04,	1.040E-03
30,	01:39:57,	29,	1.700E-02,	6.940E-04,	1.090E-03
31,	01:39:59,	30,	1.700E-02,	7.310E-04,	1.140E-03
32,	01:40:00,	32,	1.700E-02,	7.690E-04,	1.180E-03
33,	01:40:01,	33,	1.700E-02,	8.050E-04,	1.220E-03
34,	01:40:02,	34,	1.700E-02,	8.370E-04,	1.280E-03
35,	01:40:04,	35,	1.700E-02,	8.720E-04,	1.320E-03
36,	01:40:05,	36,	1.700E-02,	9.060E-04,	1.370E-03
37,	01:40:06,	37,	1.700E-02,	9.560E-04,	1.410E-03
38,	01:40:08,	38,	1.700E-02,	1.000E-03,	1.460E-03
39,	01:40:09,	39,	1.600E-02,	1.050E-03,	1.510E-03
40,	01:40:10,	40,	1.600E-02,	1.090E-03,	1.550E-03
