No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	01:06:56,	0,	2.400E-01,	5.000E-03,	1.130E-02
2,	01:06:58,	1,	2.400E-01,	4.980E-03,	1.130E-02
3,	01:06:59,	2,	2.400E-01,	5.000E-03,	1.130E-02
4,	01:07:00,	3,	2.400E-01,	4.980E-03,	1.130E-02
5,	01:07:02,	4,	2.400E-01,	4.990E-03,	1.130E-02
6,	01:07:03,	5,	2.400E-01,	4.990E-03,	1.130E-02
7,	01:07:04,	6,	2.400E-01,	5.000E-03,	1.130E-02
8,	01:07:05,	7,	2.400E-01,	4.630E-03,	7.820E-03
9,	01:07:07,	8,	2.200E-01,	2.140E-03,	3.700E-03
10,	01:07:08,	9,	1.500E-01,	1.090E-03,	2.070E-03
11,	01:07:09,	10,	1.300E-01,	5.990E-04,	1.240E-03
12,	01:07:11,	11,	1.000E-01,	3.970E-04,	7.440E-04
13,	01:07:12,	12,	8.600E-02,	2.680E-04,	5.060E-04
14,	01:07:13,	13,	6.000E-02,	1.800E-04,	3.510E-04
15,	01:07:14,	14,	5.100E-02,	1.200E-04,	2.530E-04
16,	01:07:16,	15,	4.400E-02,	8.000E-05,	1.830E-04
17,	01:07:17,	16,	3.400E-02,	5.660E-05,	1.340E-04
18,	01:07:18,	17,	3.000E-02,	4.020E-05,	9.880E-05
19,	01:07:20,	18,	2.700E-02,	3.040E-05,	7.990E-05
20,	01:07:21,	19,	2.400E-02,	2.370E-05,	6.660E-05
21,	01:07:22,	20,	2.200E-02,	1.900E-05,	5.510E-05
22,	01:07:24,	21,	2.100E-02,	1.570E-05,	4.670E-05
23,	01:07:25,	22,	2.100E-02,	1.380E-05,	4.130E-05
24,	01:07:26,	23,	2.000E-02,	1.240E-05,	3.760E-05
25,	01:07:27,	24,	1.900E-02,	1.150E-05,	3.640E-05
26,	01:07:29,	25,	1.900E-02,	1.080E-05,	3.450E-05
27,	01:07:30,	26,	1.900E-02,	1.020E-05,	3.290E-05
28,	01:07:31,	27,	1.900E-02,	7.840E-06,	3.170E-05
29,	01:07:33,	28,	1.800E-02,	7.570E-06,	3.070E-05
30,	01:07:34,	29,	1.800E-02,	7.380E-06,	2.990E-05
31,	01:07:35,	30,	1.800E-02,	7.180E-06,	2.920E-05
32,	01:07:37,	31,	1.800E-02,	7.030E-06,	2.860E-05
33,	01:07:38,	33,	1.800E-02,	6.900E-06,	2.800E-05
34,	01:07:39,	34,	1.800E-02,	6.830E-06,	2.750E-05
35,	01:07:40,	35,	1.800E-02,	6.720E-06,	2.710E-05
36,	01:07:42,	36,	1.800E-02,	6.610E-06,	2.670E-05
37,	01:07:43,	37,	1.800E-02,	6.510E-06,	2.630E-05
38,	01:07:44,	38,	1.800E-02,	6.430E-06,	2.590E-05
39,	01:07:46,	39,	1.800E-02,	6.350E-06,	2.560E-05
40,	01:07:47,	40,	1.800E-02,	6.240E-06,	2.530E-05
41,	01:07:48,	41,	1.800E-02,	6.150E-06,	2.500E-05
42,	01:07:50,	42,	1.800E-02,	6.080E-06,	2.470E-05
43,	01:07:51,	43,	1.800E-02,	6.020E-06,	2.450E-05
44,	01:07:52,	44,	1.800E-02,	6.010E-06,	2.420E-05
45,	01:07:53,	45,	1.800E-02,	5.980E-06,	2.400E-05
46,	01:07:55,	46,	1.800E-02,	5.930E-06,	2.380E-05
47,	01:07:56,	47,	1.800E-02,	5.880E-06,	2.360E-05
48,	01:07:57,	48,	1.800E-02,	5.830E-06,	2.330E-05
49,	01:07:59,	49,	1.800E-02,	5.780E-06,	2.310E-05
50,	01:08:00,	50,	1.800E-02,	5.710E-06,	2.290E-05
51,	01:08:01,	51,	1.800E-02,	5.670E-06,	2.270E-05
52,	01:08:03,	52,	1.800E-02,	5.620E-06,	2.260E-05
53,	01:08:04,	53,	1.800E-02,	5.580E-06,	2.240E-05
54,	01:08:05,	54,	1.800E-02,	5.530E-06,	2.220E-05
55,	01:08:07,	55,	1.800E-02,	5.480E-06,	2.210E-05
56,	01:08:08,	56,	1.800E-02,	5.420E-06,	2.190E-05
57,	01:08:09,	57,	1.800E-02,	5.390E-06,	2.180E-05
58,	01:08:11,	58,	1.800E-02,	5.360E-06,	2.170E-05
59,	01:08:12,	59,	1.800E-02,	5.310E-06,	2.150E-05
60,	01:08:13,	60,	1.800E-02,	5.280E-06,	2.140E-05
61,	01:08:15,	61,	1.800E-02,	5.240E-06,	2.120E-05
62,	01:08:16,	62,	1.800E-02,	5.200E-06,	2.110E-05
63,	01:08:17,	63,	1.800E-02,	5.170E-06,	2.100E-05
64,	01:08:19,	64,	1.800E-02,	5.130E-06,	2.090E-05
65,	01:08:20,	65,	1.800E-02,	5.110E-06,	2.080E-05
66,	01:08:21,	66,	1.800E-02,	5.080E-06,	2.060E-05
67,	01:08:23,	67,	1.800E-02,	5.050E-06,	2.060E-05
68,	01:08:24,	68,	1.800E-02,	5.030E-06,	2.040E-05
69,	01:08:25,	69,	1.800E-02,	4.990E-06,	2.030E-05
70,	01:08:27,	70,	1.800E-02,	4.960E-06,	2.020E-05
71,	01:08:28,	71,	1.800E-02,	4.950E-06,	2.010E-05
72,	01:08:30,	72,	1.800E-02,	4.910E-06,	2.000E-05
73,	01:08:31,	73,	1.800E-02,	4.880E-06,	1.990E-05
74,	01:08:32,	74,	1.800E-02,	4.860E-06,	1.980E-05
75,	01:08:34,	75,	1.800E-02,	4.840E-06,	1.970E-05
76,	01:08:35,	76,	1.800E-02,	4.810E-06,	1.970E-05
77,	01:08:36,	77,	1.800E-02,	4.790E-06,	1.960E-05
78,	01:08:38,	78,	1.800E-02,	4.760E-06,	1.950E-05
79,	01:08:39,	79,	1.800E-02,	4.750E-06,	1.940E-05
80,	01:08:40,	80,	1.800E-02,	4.710E-06,	1.930E-05
81,	01:08:42,	81,	1.800E-02,	4.690E-06,	1.920E-05
82,	01:08:43,	82,	1.900E-02,	4.680E-06,	1.910E-05
83,	01:08:44,	83,	1.800E-02,	4.660E-06,	1.910E-05
84,	01:08:46,	84,	1.800E-02,	4.630E-06,	1.900E-05
85,	01:08:47,	85,	1.800E-02,	4.620E-06,	1.890E-05
86,	01:08:48,	86,	1.800E-02,	4.590E-06,	1.890E-05
87,	01:08:50,	87,	1.800E-02,	4.580E-06,	1.880E-05
88,	01:08:51,	88,	1.800E-02,	4.560E-06,	1.880E-05
89,	01:08:52,	89,	1.800E-02,	4.550E-06,	1.870E-05
90,	01:08:54,	90,	1.700E-02,	4.530E-06,	1.870E-05
91,	01:08:55,	91,	1.700E-02,	4.520E-06,	1.860E-05
92,	01:08:56,	92,	1.800E-02,	4.500E-06,	1.850E-05
93,	01:08:58,	93,	1.800E-02,	4.480E-06,	1.850E-05
94,	01:08:59,	94,	1.800E-02,	4.470E-06,	1.840E-05
95,	01:09:00,	95,	1.800E-02,	4.460E-06,	1.840E-05
96,	01:09:02,	96,	1.800E-02,	4.440E-06,	1.830E-05
97,	01:09:03,	98,	1.900E-02,	4.430E-06,	1.830E-05
98,	01:09:04,	99,	1.800E-02,	4.410E-06,	1.820E-05
99,	01:09:06,	100,	1.800E-02,	4.390E-06,	1.820E-05
100,	01:09:07,	101,	1.700E-02,	4.390E-06,	1.810E-05
101,	01:09:08,	102,	1.700E-02,	4.380E-06,	1.810E-05
102,	01:09:10,	103,	1.700E-02,	4.370E-06,	1.810E-05
103,	01:09:11,	104,	1.700E-02,	4.350E-06,	1.800E-05
104,	01:09:12,	105,	1.700E-02,	4.350E-06,	1.800E-05
105,	01:09:14,	106,	1.700E-02,	4.330E-06,	1.790E-05
106,	01:09:15,	107,	1.700E-02,	4.320E-06,	1.790E-05
107,	01:09:17,	108,	1.700E-02,	4.300E-06,	1.780E-05
108,	01:09:18,	109,	1.700E-02,	4.290E-06,	1.780E-05
109,	01:09:19,	110,	1.700E-02,	4.280E-06,	1.780E-05
110,	01:09:21,	111,	1.700E-02,	4.280E-06,	1.770E-05
111,	01:09:22,	112,	1.700E-02,	4.260E-06,	1.770E-05
112,	01:09:23,	113,	1.700E-02,	4.250E-06,	1.770E-05
113,	01:09:25,	114,	1.700E-02,	4.250E-06,	1.760E-05
114,	01:09:26,	115,	1.700E-02,	4.230E-06,	1.760E-05
115,	01:09:27,	116,	1.700E-02,	4.230E-06,	1.750E-05
116,	01:09:29,	117,	1.700E-02,	4.220E-06,	1.750E-05
117,	01:09:30,	118,	1.700E-02,	4.210E-06,	1.750E-05
118,	01:09:32,	119,	1.700E-02,	4.200E-06,	1.740E-05
119,	01:09:33,	120,	1.700E-02,	4.190E-06,	1.740E-05
120,	01:09:34,	121,	1.700E-02,	4.180E-06,	1.740E-05
121,	01:09:36,	122,	1.700E-02,	4.170E-06,	1.730E-05
