No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	01:58:33,	0,	3.400E-02,	1.900E-04,	5.050E-04
2,	01:58:35,	1,	3.400E-02,	1.900E-04,	5.040E-04
3,	01:58:36,	2,	3.400E-02,	1.890E-04,	5.050E-04
4,	01:58:37,	3,	3.400E-02,	1.890E-04,	5.050E-04
5,	01:58:39,	4,	3.400E-02,	3.220E-04,	5.710E-04
6,	01:58:40,	5,	2.500E-02,	4.280E-04,	6.870E-04
7,	01:58:41,	6,	2.200E-02,	5.220E-04,	8.220E-04
8,	01:58:42,	7,	2.000E-02,	6.120E-04,	9.660E-04
9,	01:58:44,	8,	1.900E-02,	7.090E-04,	1.120E-03
10,	01:58:45,	9,	1.800E-02,	8.310E-04,	1.260E-03
11,	01:58:46,	10,	1.700E-02,	9.610E-04,	1.410E-03
12,	01:58:48,	11,	1.700E-02,	1.090E-03,	1.560E-03
13,	01:58:49,	12,	1.600E-02,	1.230E-03,	1.710E-03
14,	01:58:50,	13,	1.600E-02,	1.350E-03,	1.840E-03
15,	01:58:51,	14,	1.600E-02,	1.500E-03,	1.990E-03
16,	01:58:53,	15,	1.600E-02,	1.630E-03,	2.150E-03
17,	01:58:54,	16,	1.600E-02,	1.770E-03,	2.300E-03
18,	01:58:55,	17,	1.600E-02,	1.920E-03,	2.490E-03
19,	01:58:57,	18,	1.600E-02,	2.070E-03,	2.670E-03
20,	01:58:58,	19,	1.600E-02,	2.240E-03,	2.850E-03
21,	01:58:59,	20,	1.600E-02,	2.430E-03,	3.020E-03
22,	01:59:01,	21,	1.600E-02,	2.630E-03,	3.210E-03
23,	01:59:02,	22,	1.600E-02,	2.830E-03,	3.440E-03
24,	01:59:03,	23,	1.600E-02,	3.000E-03,	3.590E-03
25,	01:59:04,	24,	1.600E-02,	3.200E-03,	3.780E-03
26,	01:59:06,	25,	1.600E-02,	3.340E-03,	3.980E-03
27,	01:59:07,	26,	1.600E-02,	3.570E-03,	4.160E-03
28,	01:59:08,	27,	1.600E-02,	3.790E-03,	4.380E-03
29,	01:59:09,	28,	1.600E-02,	3.980E-03,	4.570E-03
30,	01:59:11,	29,	1.600E-02,	4.220E-03,	4.760E-03
31,	01:59:12,	30,	1.600E-02,	4.480E-03,	5.010E-03
32,	01:59:13,	31,	1.600E-02,	4.680E-03,	5.200E-03
33,	01:59:15,	33,	1.600E-02,	4.910E-03,	5.440E-03
34,	01:59:16,	34,	1.600E-02,	5.030E-03,	5.670E-03
35,	01:59:17,	35,	1.600E-02,	5.100E-03,	5.890E-03
36,	01:59:19,	36,	1.600E-02,	5.260E-03,	6.110E-03
37,	01:59:20,	37,	1.600E-02,	5.460E-03,	6.270E-03
38,	01:59:21,	38,	1.600E-02,	5.660E-03,	6.450E-03
39,	01:59:23,	39,	1.600E-02,	5.890E-03,	6.610E-03
40,	01:59:24,	40,	1.600E-02,	6.080E-03,	6.820E-03
41,	01:59:25,	41,	1.600E-02,	6.320E-03,	7.030E-03
42,	01:59:26,	42,	1.600E-02,	6.550E-03,	7.220E-03
43,	01:59:28,	43,	1.600E-02,	6.840E-03,	7.440E-03
44,	01:59:29,	44,	1.600E-02,	7.220E-03,	7.700E-03
45,	01:59:30,	45,	1.600E-02,	7.590E-03,	7.930E-03
46,	01:59:32,	46,	1.600E-02,	7.850E-03,	8.120E-03
47,	01:59:33,	47,	1.600E-02,	8.120E-03,	8.320E-03
48,	01:59:34,	48,	1.600E-02,	8.420E-03,	8.540E-03
49,	01:59:36,	49,	1.600E-02,	8.690E-03,	8.840E-03
50,	01:59:37,	50,	1.600E-02,	8.910E-03,	9.090E-03
51,	01:59:38,	51,	1.600E-02,	9.250E-03,	9.390E-03
52,	01:59:39,	52,	1.600E-02,	9.590E-03,	9.680E-03
53,	01:59:41,	53,	1.600E-02,	9.900E-03,	9.970E-03
54,	01:59:42,	54,	1.600E-02,	1.010E-02,	1.010E-02
55,	01:59:43,	55,	1.600E-02,	1.020E-02,	1.040E-02
56,	01:59:45,	56,	1.600E-02,	1.040E-02,	1.050E-02
57,	01:59:46,	57,	1.600E-02,	1.050E-02,	1.060E-02
58,	01:59:47,	58,	1.600E-02,	1.060E-02,	1.080E-02
59,	01:59:49,	59,	1.600E-02,	1.080E-02,	1.100E-02
60,	01:59:50,	60,	1.600E-02,	1.090E-02,	1.110E-02
61,	01:59:51,	61,	1.600E-02,	1.110E-02,	1.130E-02
62,	01:59:53,	62,	1.600E-02,	1.120E-02,	1.140E-02
63,	01:59:54,	63,	1.600E-02,	1.140E-02,	1.160E-02
64,	01:59:55,	64,	1.600E-02,	1.160E-02,	1.170E-02
65,	01:59:57,	65,	1.600E-02,	1.180E-02,	1.190E-02
66,	01:59:58,	66,	1.600E-02,	1.190E-02,	1.200E-02
67,	01:59:59,	67,	1.600E-02,	1.200E-02,	1.220E-02
68,	02:00:01,	68,	1.600E-02,	1.210E-02,	1.230E-02
69,	02:00:02,	69,	1.600E-02,	1.230E-02,	1.250E-02
70,	02:00:03,	70,	1.600E-02,	1.250E-02,	1.270E-02
71,	02:00:05,	71,	1.600E-02,	1.270E-02,	1.290E-02
72,	02:00:06,	72,	1.600E-02,	1.290E-02,	1.310E-02
73,	02:00:07,	73,	1.600E-02,	1.310E-02,	1.320E-02
74,	02:00:09,	74,	1.600E-02,	1.330E-02,	1.340E-02
75,	02:00:10,	75,	1.600E-02,	1.340E-02,	1.360E-02
76,	02:00:11,	76,	1.600E-02,	1.370E-02,	1.370E-02
77,	02:00:13,	77,	1.600E-02,	1.380E-02,	1.390E-02
78,	02:00:14,	78,	1.600E-02,	1.400E-02,	1.400E-02
79,	02:00:15,	79,	1.600E-02,	1.420E-02,	1.420E-02
80,	02:00:17,	80,	1.600E-02,	1.440E-02,	1.440E-02
81,	02:00:18,	81,	1.600E-02,	1.460E-02,	1.470E-02
82,	02:00:19,	82,	1.600E-02,	1.480E-02,	1.480E-02
83,	02:00:21,	83,	1.600E-02,	1.500E-02,	1.500E-02
84,	02:00:22,	84,	1.600E-02,	1.520E-02,	1.510E-02
85,	02:00:23,	85,	1.600E-02,	1.540E-02,	1.530E-02
86,	02:00:25,	86,	1.600E-02,	1.560E-02,	1.550E-02
87,	02:00:26,	87,	1.600E-02,	1.590E-02,	1.560E-02
88,	02:00:27,	88,	1.600E-02,	1.620E-02,	1.580E-02
89,	02:00:29,	89,	1.600E-02,	1.640E-02,	1.600E-02
90,	02:00:30,	90,	1.600E-02,	1.660E-02,	1.620E-02
91,	02:00:31,	91,	1.600E-02,	1.680E-02,	1.640E-02
92,	02:00:33,	92,	1.600E-02,	1.710E-02,	1.660E-02
93,	02:00:34,	93,	1.600E-02,	1.730E-02,	1.680E-02
94,	02:00:35,	94,	1.600E-02,	1.750E-02,	1.700E-02
95,	02:00:37,	95,	1.600E-02,	1.770E-02,	1.720E-02
96,	02:00:38,	97,	1.600E-02,	1.800E-02,	1.740E-02
97,	02:00:39,	98,	1.600E-02,	1.830E-02,	1.770E-02
98,	02:00:41,	99,	1.600E-02,	1.850E-02,	1.790E-02
99,	02:00:42,	100,	1.600E-02,	1.870E-02,	1.810E-02
100,	02:00:43,	101,	1.600E-02,	1.890E-02,	1.840E-02
101,	02:00:45,	102,	1.600E-02,	1.900E-02,	1.860E-02
102,	02:00:46,	103,	1.600E-02,	1.930E-02,	1.880E-02
103,	02:00:47,	104,	1.600E-02,	1.960E-02,	1.900E-02
104,	02:00:49,	105,	1.600E-02,	1.990E-02,	1.910E-02
105,	02:00:50,	106,	1.600E-02,	2.000E-02,	1.940E-02
106,	02:00:51,	107,	1.600E-02,	2.020E-02,	1.970E-02
107,	02:00:53,	108,	1.600E-02,	2.040E-02,	1.990E-02
108,	02:00:54,	109,	1.600E-02,	2.050E-02,	2.020E-02
109,	02:00:55,	110,	1.600E-02,	2.070E-02,	2.050E-02
110,	02:00:57,	111,	1.600E-02,	2.090E-02,	2.080E-02
111,	02:00:58,	112,	1.600E-02,	2.100E-02,	2.100E-02
112,	02:00:59,	113,	1.600E-02,	2.120E-02,	2.120E-02
113,	02:01:01,	114,	1.600E-02,	2.140E-02,	2.140E-02
114,	02:01:02,	115,	1.600E-02,	2.160E-02,	2.150E-02
115,	02:01:03,	116,	1.600E-02,	2.170E-02,	2.170E-02
116,	02:01:05,	117,	1.700E-02,	2.190E-02,	2.180E-02
117,	02:01:06,	118,	1.600E-02,	2.210E-02,	2.200E-02
118,	02:01:08,	119,	1.600E-02,	2.230E-02,	2.210E-02
119,	02:01:09,	120,	1.600E-02,	2.240E-02,	2.230E-02
120,	02:01:10,	121,	1.600E-02,	2.260E-02,	2.250E-02
121,	02:01:12,	122,	1.600E-02,	2.280E-02,	2.260E-02
122,	02:01:13,	123,	1.600E-02,	2.300E-02,	2.280E-02
123,	02:01:14,	124,	1.600E-02,	2.320E-02,	2.300E-02
124,	02:01:16,	125,	1.600E-02,	2.330E-02,	2.310E-02
125,	02:01:17,	126,	1.600E-02,	2.350E-02,	2.320E-02
126,	02:01:18,	127,	1.600E-02,	2.370E-02,	2.350E-02
127,	02:01:20,	128,	1.700E-02,	2.390E-02,	2.370E-02
128,	02:01:21,	129,	1.600E-02,	2.410E-02,	2.380E-02
129,	02:01:23,	130,	1.600E-02,	2.430E-02,	2.400E-02
130,	02:01:24,	131,	1.600E-02,	2.450E-02,	2.420E-02
131,	02:01:25,	132,	1.600E-02,	2.470E-02,	2.440E-02
132,	02:01:27,	133,	1.600E-02,	2.490E-02,	2.460E-02
133,	02:01:28,	134,	1.600E-02,	2.510E-02,	2.480E-02
134,	02:01:29,	135,	1.600E-02,	2.530E-02,	2.490E-02
135,	02:01:31,	136,	1.600E-02,	2.550E-02,	2.510E-02
136,	02:01:32,	137,	1.600E-02,	2.580E-02,	2.530E-02
137,	02:01:34,	138,	1.600E-02,	2.600E-02,	2.550E-02
138,	02:01:35,	139,	1.600E-02,	2.620E-02,	2.560E-02
139,	02:01:36,	140,	1.600E-02,	2.640E-02,	2.580E-02
140,	02:01:38,	141,	1.600E-02,	2.650E-02,	2.610E-02
141,	02:01:39,	142,	1.600E-02,	2.670E-02,	2.630E-02
142,	02:01:41,	143,	1.600E-02,	2.690E-02,	2.640E-02
143,	02:01:42,	144,	1.600E-02,	2.710E-02,	2.660E-02
144,	02:01:43,	145,	1.600E-02,	2.740E-02,	2.680E-02
145,	02:01:45,	146,	1.600E-02,	2.760E-02,	2.700E-02
146,	02:01:46,	147,	1.600E-02,	2.780E-02,	2.720E-02
147,	02:01:48,	148,	1.600E-02,	2.800E-02,	2.740E-02
148,	02:01:49,	149,	1.600E-02,	2.820E-02,	2.760E-02
149,	02:01:50,	150,	1.600E-02,	2.850E-02,	2.780E-02
150,	02:01:52,	151,	1.600E-02,	2.870E-02,	2.800E-02
151,	02:01:53,	152,	1.600E-02,	2.890E-02,	2.820E-02
