No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	03:43:34,	0,	1.006E+03,	9.980E+02,	1.000E+03
2,	03:43:36,	1,	1.006E+03,	1.000E+03,	1.000E+03
3,	03:43:37,	2,	1.006E+03,	9.990E+02,	1.000E+03
4,	03:43:39,	3,	1.006E+03,	9.990E+02,	1.000E+03
5,	03:43:40,	4,	1.006E+03,	1.000E+03,	1.000E+03
6,	03:43:41,	5,	1.006E+03,	9.980E+02,	1.000E+03
7,	03:43:42,	6,	1.006E+03,	9.980E+02,	1.000E+03
8,	03:43:44,	7,	1.006E+03,	9.990E+02,	1.000E+03
9,	03:43:45,	8,	1.006E+03,	9.980E+02,	1.000E+03
10,	03:43:46,	9,	9.876E+02,	9.990E+02,	1.000E+03
11,	03:43:48,	10,	9.127E+02,	9.990E+02,	1.000E+03
12,	03:43:49,	11,	8.326E+02,	9.980E+02,	1.000E+03
13,	03:43:50,	12,	8.000E+02,	9.990E+02,	1.000E+03
14,	03:43:52,	13,	7.721E+02,	9.980E+02,	1.000E+03
15,	03:43:53,	14,	7.439E+02,	9.990E+02,	1.000E+03
16,	03:43:54,	15,	6.909E+02,	9.980E+02,	1.000E+03
17,	03:43:55,	16,	6.709E+02,	9.980E+02,	1.000E+03
18,	03:43:57,	17,	6.525E+02,	9.980E+02,	1.000E+03
19,	03:43:58,	18,	6.104E+02,	9.990E+02,	1.000E+03
20,	03:43:59,	19,	5.974E+02,	9.980E+02,	1.000E+03
21,	03:44:01,	20,	5.757E+02,	9.990E+02,	1.000E+03
22,	03:44:02,	21,	5.463E+02,	1.000E+03,	1.000E+03
23,	03:44:03,	22,	5.277E+02,	9.990E+02,	1.000E+03
24,	03:44:04,	23,	5.157E+02,	9.990E+02,	1.000E+03
25,	03:44:06,	24,	4.980E+02,	9.990E+02,	1.000E+03
26,	03:44:07,	25,	4.729E+02,	9.990E+02,	1.000E+03
27,	03:44:08,	26,	4.546E+02,	9.990E+02,	1.000E+03
28,	03:44:10,	27,	4.433E+02,	9.980E+02,	1.000E+03
29,	03:44:11,	28,	4.171E+02,	9.990E+02,	1.000E+03
30,	03:44:12,	29,	4.068E+02,	1.000E+03,	1.000E+03
31,	03:44:14,	30,	3.918E+02,	9.990E+02,	9.640E+02
32,	03:44:15,	31,	3.702E+02,	9.990E+02,	9.020E+02
33,	03:44:16,	33,	3.591E+02,	9.990E+02,	8.520E+02
34,	03:44:17,	34,	3.509E+02,	9.830E+02,	7.800E+02
35,	03:44:19,	35,	3.375E+02,	8.990E+02,	7.140E+02
36,	03:44:20,	36,	3.204E+02,	8.350E+02,	6.770E+02
37,	03:44:21,	37,	3.086E+02,	7.780E+02,	6.380E+02
38,	03:44:23,	38,	3.004E+02,	7.380E+02,	5.900E+02
39,	03:44:24,	39,	2.828E+02,	6.700E+02,	5.510E+02
40,	03:44:25,	40,	2.753E+02,	6.200E+02,	4.980E+02
41,	03:44:27,	41,	2.672E+02,	5.750E+02,	4.650E+02
42,	03:44:28,	42,	2.517E+02,	5.330E+02,	4.300E+02
43,	03:44:29,	43,	2.426E+02,	4.940E+02,	4.020E+02
44,	03:44:30,	44,	2.361E+02,	4.650E+02,	3.820E+02
45,	03:44:32,	45,	2.297E+02,	4.290E+02,	3.600E+02
46,	03:44:33,	46,	2.148E+02,	3.940E+02,	3.420E+02
47,	03:44:34,	47,	2.093E+02,	3.750E+02,	3.260E+02
48,	03:44:36,	48,	2.014E+02,	3.560E+02,	3.050E+02
49,	03:44:37,	49,	1.954E+02,	3.380E+02,	2.880E+02
50,	03:44:38,	50,	1.821E+02,	3.170E+02,	2.730E+02
51,	03:44:40,	51,	1.762E+02,	2.990E+02,	2.520E+02
52,	03:44:41,	52,	1.715E+02,	2.820E+02,	2.360E+02
53,	03:44:42,	53,	1.715E+02,	2.670E+02,	2.210E+02
54,	03:44:43,	54,	1.554E+02,	2.490E+02,	2.050E+02
55,	03:44:45,	55,	1.512E+02,	2.320E+02,	1.960E+02
56,	03:44:46,	56,	1.461E+02,	2.110E+02,	1.880E+02
57,	03:44:47,	57,	1.369E+02,	1.960E+02,	1.790E+02
58,	03:44:49,	58,	1.330E+02,	1.880E+02,	1.740E+02
59,	03:44:50,	59,	1.288E+02,	1.790E+02,	1.640E+02
60,	03:44:51,	60,	1.203E+02,	1.710E+02,	1.560E+02
61,	03:44:53,	61,	1.166E+02,	1.630E+02,	1.470E+02
62,	03:44:54,	62,	1.133E+02,	1.550E+02,	1.390E+02
63,	03:44:55,	63,	1.057E+02,	1.460E+02,	1.310E+02
64,	03:44:57,	64,	1.023E+02,	1.380E+02,	1.230E+02
65,	03:44:58,	65,	9.910E+01,	1.300E+02,	1.150E+02
66,	03:44:59,	66,	9.340E+01,	1.220E+02,	1.080E+02
67,	03:45:01,	67,	9.020E+01,	1.140E+02,	1.020E+02
68,	03:45:02,	68,	8.700E+01,	1.070E+02,	9.790E+01
69,	03:45:03,	69,	8.160E+01,	1.010E+02,	9.400E+01
70,	03:45:05,	70,	7.910E+01,	9.570E+01,	9.010E+01
71,	03:45:06,	71,	7.680E+01,	9.230E+01,	8.620E+01
72,	03:45:07,	72,	7.190E+01,	8.830E+01,	8.200E+01
73,	03:45:09,	73,	6.940E+01,	8.480E+01,	7.850E+01
74,	03:45:10,	74,	6.710E+01,	8.060E+01,	7.500E+01
75,	03:45:11,	75,	6.300E+01,	7.720E+01,	7.140E+01
76,	03:45:13,	76,	6.100E+01,	7.370E+01,	6.780E+01
77,	03:45:14,	77,	5.920E+01,	7.010E+01,	6.460E+01
78,	03:45:15,	78,	5.560E+01,	6.680E+01,	6.160E+01
79,	03:45:17,	79,	5.370E+01,	6.310E+01,	5.910E+01
80,	03:45:18,	80,	5.170E+01,	5.990E+01,	5.680E+01
81,	03:45:19,	81,	4.840E+01,	5.730E+01,	5.430E+01
82,	03:45:21,	82,	4.690E+01,	5.490E+01,	5.200E+01
83,	03:45:22,	83,	4.520E+01,	5.280E+01,	4.980E+01
84,	03:45:23,	84,	4.250E+01,	5.090E+01,	4.760E+01
85,	03:45:25,	85,	4.100E+01,	4.860E+01,	4.530E+01
86,	03:45:26,	86,	3.970E+01,	4.660E+01,	4.300E+01
87,	03:45:27,	87,	3.740E+01,	4.440E+01,	4.130E+01
88,	03:45:29,	88,	3.600E+01,	4.220E+01,	4.010E+01
89,	03:45:30,	89,	3.500E+01,	4.020E+01,	3.890E+01
90,	03:45:31,	90,	3.250E+01,	3.870E+01,	3.770E+01
91,	03:45:33,	91,	3.130E+01,	3.750E+01,	3.640E+01
92,	03:45:34,	92,	3.050E+01,	3.630E+01,	3.520E+01
93,	03:45:35,	93,	2.840E+01,	3.530E+01,	3.410E+01
94,	03:45:37,	94,	2.760E+01,	3.400E+01,	3.290E+01
95,	03:45:38,	95,	2.660E+01,	3.290E+01,	3.170E+01
96,	03:45:39,	96,	2.490E+01,	3.180E+01,	3.060E+01
97,	03:45:41,	98,	2.410E+01,	3.060E+01,	2.940E+01
98,	03:45:42,	99,	2.340E+01,	2.950E+01,	2.820E+01
99,	03:45:43,	100,	2.180E+01,	2.840E+01,	2.710E+01
100,	03:45:45,	101,	2.110E+01,	2.730E+01,	2.600E+01
101,	03:45:46,	102,	2.040E+01,	2.620E+01,	2.490E+01
102,	03:45:47,	103,	1.910E+01,	2.520E+01,	2.390E+01
103,	03:45:49,	104,	1.850E+01,	2.420E+01,	2.290E+01
104,	03:45:50,	105,	1.790E+01,	2.320E+01,	2.190E+01
105,	03:45:51,	106,	1.670E+01,	2.220E+01,	2.090E+01
106,	03:45:53,	107,	1.620E+01,	2.130E+01,	2.030E+01
107,	03:45:54,	108,	1.560E+01,	2.030E+01,	1.970E+01
108,	03:45:55,	109,	1.460E+01,	1.950E+01,	1.910E+01
109,	03:45:57,	110,	1.420E+01,	1.900E+01,	1.850E+01
110,	03:45:58,	111,	1.380E+01,	1.840E+01,	1.800E+01
111,	03:46:00,	112,	1.300E+01,	1.790E+01,	1.740E+01
112,	03:46:01,	113,	1.270E+01,	1.730E+01,	1.680E+01
113,	03:46:02,	114,	1.210E+01,	1.680E+01,	1.630E+01
114,	03:46:04,	115,	1.170E+01,	1.630E+01,	1.580E+01
115,	03:46:05,	116,	1.130E+01,	1.580E+01,	1.530E+01
116,	03:46:06,	117,	1.080E+01,	1.520E+01,	1.470E+01
117,	03:46:08,	118,	1.040E+01,	1.470E+01,	1.420E+01
118,	03:46:09,	119,	1.000E+01,	1.430E+01,	1.370E+01
119,	03:46:10,	120,	9.300E+00,	1.380E+01,	1.330E+01
120,	03:46:12,	121,	9.100E+00,	1.340E+01,	1.280E+01
121,	03:46:13,	122,	9.100E+00,	1.290E+01,	1.240E+01
122,	03:46:15,	123,	8.300E+00,	1.250E+01,	1.190E+01
123,	03:46:16,	124,	8.100E+00,	1.200E+01,	1.150E+01
124,	03:46:17,	125,	7.600E+00,	1.170E+01,	1.110E+01
125,	03:46:19,	126,	7.300E+00,	1.120E+01,	1.070E+01
126,	03:46:20,	127,	7.000E+00,	1.090E+01,	1.040E+01
127,	03:46:21,	128,	6.600E+00,	1.050E+01,	1.010E+01
128,	03:46:23,	129,	6.500E+00,	1.010E+01,	9.820E+00
129,	03:46:24,	130,	6.300E+00,	9.790E+00,	9.560E+00
130,	03:46:26,	131,	6.000E+00,	9.540E+00,	9.310E+00
131,	03:46:27,	132,	5.900E+00,	9.290E+00,	9.070E+00
132,	03:46:28,	133,	5.600E+00,	9.040E+00,	8.820E+00
133,	03:46:30,	134,	5.400E+00,	8.820E+00,	8.590E+00
134,	03:46:31,	135,	5.200E+00,	8.590E+00,	8.360E+00
135,	03:46:33,	136,	4.900E+00,	8.360E+00,	8.140E+00
136,	03:46:34,	137,	4.700E+00,	8.150E+00,	7.930E+00
137,	03:46:35,	138,	4.500E+00,	7.930E+00,	7.730E+00
138,	03:46:37,	139,	4.400E+00,	7.730E+00,	7.540E+00
139,	03:46:38,	140,	4.300E+00,	7.540E+00,	7.350E+00
140,	03:46:40,	141,	4.100E+00,	7.360E+00,	7.170E+00
141,	03:46:41,	142,	4.000E+00,	7.190E+00,	6.990E+00
142,	03:46:42,	143,	3.800E+00,	7.010E+00,	6.810E+00
143,	03:46:44,	144,	3.700E+00,	6.840E+00,	6.650E+00
144,	03:46:45,	145,	3.600E+00,	6.680E+00,	6.480E+00
145,	03:46:46,	146,	3.400E+00,	6.510E+00,	6.330E+00
146,	03:46:48,	147,	3.300E+00,	6.360E+00,	6.190E+00
147,	03:46:49,	148,	3.100E+00,	6.220E+00,	6.070E+00
148,	03:46:51,	149,	3.100E+00,	6.080E+00,	5.950E+00
149,	03:46:52,	150,	3.000E+00,	5.930E+00,	5.820E+00
150,	03:46:53,	151,	2.900E+00,	5.810E+00,	5.700E+00
151,	03:46:55,	152,	2.900E+00,	5.700E+00,	5.590E+00
152,	03:46:56,	153,	2.800E+00,	5.590E+00,	5.480E+00
153,	03:46:58,	154,	2.700E+00,	5.480E+00,	5.370E+00
154,	03:46:59,	155,	2.600E+00,	5.370E+00,	5.260E+00
155,	03:47:00,	156,	2.500E+00,	5.270E+00,	5.160E+00
156,	03:47:02,	157,	2.500E+00,	5.170E+00,	5.050E+00
157,	03:47:03,	158,	2.300E+00,	5.060E+00,	4.940E+00
158,	03:47:05,	159,	2.300E+00,	4.960E+00,	4.850E+00
159,	03:47:06,	160,	2.200E+00,	4.870E+00,	4.760E+00
160,	03:47:08,	161,	2.100E+00,	4.790E+00,	4.670E+00
161,	03:47:09,	163,	2.100E+00,	4.700E+00,	4.590E+00
162,	03:47:10,	164,	2.000E+00,	4.610E+00,	4.500E+00
163,	03:47:12,	165,	2.000E+00,	4.540E+00,	4.420E+00
164,	03:47:13,	166,	2.000E+00,	4.450E+00,	4.340E+00
165,	03:47:15,	167,	1.900E+00,	4.380E+00,	4.260E+00
166,	03:47:16,	168,	1.900E+00,	4.290E+00,	4.180E+00
167,	03:47:17,	169,	1.800E+00,	4.210E+00,	4.110E+00
168,	03:47:19,	170,	1.800E+00,	4.140E+00,	4.040E+00
169,	03:47:20,	171,	1.700E+00,	4.060E+00,	3.970E+00
170,	03:47:22,	172,	1.700E+00,	4.000E+00,	3.910E+00
171,	03:47:23,	173,	1.700E+00,	3.930E+00,	3.850E+00
172,	03:47:25,	174,	1.600E+00,	3.870E+00,	3.790E+00
173,	03:47:26,	175,	1.600E+00,	3.810E+00,	3.730E+00
174,	03:47:27,	176,	1.500E+00,	3.750E+00,	3.670E+00
175,	03:47:29,	177,	1.500E+00,	3.690E+00,	3.600E+00
176,	03:47:30,	178,	1.500E+00,	3.640E+00,	3.550E+00
177,	03:47:32,	179,	1.400E+00,	3.580E+00,	3.500E+00
178,	03:47:33,	180,	1.400E+00,	3.520E+00,	3.440E+00
179,	03:47:35,	181,	1.400E+00,	3.470E+00,	3.390E+00
180,	03:47:36,	182,	1.400E+00,	3.420E+00,	3.340E+00
181,	03:47:37,	183,	1.300E+00,	3.370E+00,	3.290E+00
182,	03:47:39,	184,	1.300E+00,	3.330E+00,	3.240E+00
183,	03:47:40,	185,	1.300E+00,	3.280E+00,	3.200E+00
184,	03:47:42,	186,	1.300E+00,	3.230E+00,	3.150E+00
185,	03:47:43,	187,	1.300E+00,	3.180E+00,	3.100E+00
186,	03:47:44,	188,	1.200E+00,	3.140E+00,	3.060E+00
187,	03:47:46,	189,	1.200E+00,	3.090E+00,	3.020E+00
188,	03:47:47,	190,	1.200E+00,	3.050E+00,	2.970E+00
189,	03:47:49,	191,	1.200E+00,	3.010E+00,	2.930E+00
190,	03:47:50,	192,	1.100E+00,	2.970E+00,	2.890E+00
191,	03:47:52,	193,	1.100E+00,	2.930E+00,	2.850E+00
192,	03:47:53,	194,	1.100E+00,	2.890E+00,	2.810E+00
193,	03:47:55,	195,	1.100E+00,	2.850E+00,	2.770E+00
194,	03:47:56,	196,	1.000E+00,	2.810E+00,	2.730E+00
195,	03:47:57,	197,	1.000E+00,	2.770E+00,	2.690E+00
196,	03:47:59,	198,	1.000E+00,	2.730E+00,	2.660E+00
197,	03:48:00,	199,	9.800E-01,	2.700E+00,	2.620E+00
198,	03:48:02,	200,	9.700E-01,	2.660E+00,	2.590E+00
199,	03:48:03,	201,	9.500E-01,	2.630E+00,	2.550E+00
200,	03:48:05,	202,	9.400E-01,	2.600E+00,	2.520E+00
201,	03:48:06,	203,	9.300E-01,	2.560E+00,	2.490E+00
202,	03:48:08,	204,	9.200E-01,	2.530E+00,	2.460E+00
203,	03:48:09,	205,	9.000E-01,	2.500E+00,	2.430E+00
204,	03:48:10,	206,	9.000E-01,	2.470E+00,	2.400E+00
205,	03:48:12,	207,	8.900E-01,	2.440E+00,	2.370E+00
206,	03:48:13,	208,	8.700E-01,	2.410E+00,	2.340E+00
207,	03:48:15,	209,	8.600E-01,	2.390E+00,	2.310E+00
208,	03:48:16,	210,	8.500E-01,	2.360E+00,	2.290E+00
209,	03:48:17,	211,	8.300E-01,	2.330E+00,	2.260E+00
210,	03:48:19,	212,	8.200E-01,	2.300E+00,	2.230E+00
211,	03:48:20,	213,	8.100E-01,	2.280E+00,	2.210E+00
212,	03:48:22,	214,	8.000E-01,	2.250E+00,	2.180E+00
213,	03:48:23,	215,	7.900E-01,	2.220E+00,	2.160E+00
214,	03:48:24,	216,	7.700E-01,	2.200E+00,	2.130E+00
215,	03:48:26,	217,	7.700E-01,	2.180E+00,	2.110E+00
216,	03:48:27,	218,	7.500E-01,	2.150E+00,	2.090E+00
217,	03:48:29,	219,	7.500E-01,	2.130E+00,	2.060E+00
218,	03:48:30,	220,	7.400E-01,	2.100E+00,	2.040E+00
219,	03:48:32,	221,	7.300E-01,	2.080E+00,	2.020E+00
220,	03:48:33,	222,	7.200E-01,	2.060E+00,	1.990E+00
221,	03:48:34,	223,	7.000E-01,	2.030E+00,	1.970E+00
222,	03:48:36,	224,	6.900E-01,	2.020E+00,	1.950E+00
223,	03:48:37,	225,	6.800E-01,	2.000E+00,	1.930E+00
224,	03:48:39,	226,	6.800E-01,	1.980E+00,	1.910E+00
225,	03:48:40,	228,	6.700E-01,	1.950E+00,	1.890E+00
226,	03:48:42,	229,	6.600E-01,	1.930E+00,	1.870E+00
227,	03:48:43,	230,	6.600E-01,	1.910E+00,	1.850E+00
228,	03:48:44,	231,	6.500E-01,	1.890E+00,	1.830E+00
229,	03:48:46,	232,	6.400E-01,	1.870E+00,	1.810E+00
230,	03:48:47,	233,	6.300E-01,	1.850E+00,	1.790E+00
231,	03:48:49,	234,	6.300E-01,	1.830E+00,	1.770E+00
232,	03:48:50,	235,	6.200E-01,	1.810E+00,	1.750E+00
233,	03:48:52,	236,	6.100E-01,	1.790E+00,	1.740E+00
234,	03:48:53,	237,	6.100E-01,	1.780E+00,	1.720E+00
235,	03:48:54,	238,	6.000E-01,	1.760E+00,	1.700E+00
236,	03:48:56,	239,	6.000E-01,	1.740E+00,	1.680E+00
237,	03:48:57,	240,	5.900E-01,	1.730E+00,	1.670E+00
238,	03:48:59,	241,	5.900E-01,	1.710E+00,	1.650E+00
239,	03:49:00,	242,	5.800E-01,	1.690E+00,	1.630E+00
240,	03:49:02,	243,	5.700E-01,	1.680E+00,	1.610E+00
241,	03:49:03,	244,	5.700E-01,	1.660E+00,	1.600E+00
242,	03:49:05,	245,	5.600E-01,	1.640E+00,	1.580E+00
243,	03:49:06,	246,	5.500E-01,	1.620E+00,	1.570E+00
244,	03:49:08,	247,	5.500E-01,	1.610E+00,	1.550E+00
245,	03:49:09,	248,	5.400E-01,	1.590E+00,	1.540E+00
246,	03:49:11,	249,	5.400E-01,	1.580E+00,	1.520E+00
247,	03:49:12,	250,	5.300E-01,	1.560E+00,	1.510E+00
248,	03:49:14,	251,	5.200E-01,	1.550E+00,	1.490E+00
249,	03:49:15,	252,	5.200E-01,	1.530E+00,	1.480E+00
250,	03:49:17,	253,	5.100E-01,	1.520E+00,	1.460E+00
251,	03:49:19,	254,	5.100E-01,	1.500E+00,	1.450E+00
252,	03:49:20,	255,	5.000E-01,	1.490E+00,	1.440E+00
253,	03:49:22,	256,	4.900E-01,	1.470E+00,	1.420E+00
254,	03:49:23,	257,	4.800E-01,	1.460E+00,	1.410E+00
255,	03:49:25,	258,	4.800E-01,	1.440E+00,	1.400E+00
256,	03:49:26,	259,	4.800E-01,	1.430E+00,	1.380E+00
257,	03:49:28,	260,	4.700E-01,	1.420E+00,	1.370E+00
258,	03:49:29,	261,	4.700E-01,	1.400E+00,	1.360E+00
259,	03:49:31,	262,	4.700E-01,	1.390E+00,	1.350E+00
260,	03:49:32,	263,	4.600E-01,	1.380E+00,	1.340E+00
261,	03:49:34,	264,	4.500E-01,	1.370E+00,	1.320E+00
262,	03:49:35,	265,	4.500E-01,	1.360E+00,	1.310E+00
263,	03:49:37,	266,	4.500E-01,	1.340E+00,	1.300E+00
264,	03:49:38,	267,	4.400E-01,	1.330E+00,	1.290E+00
265,	03:49:40,	268,	4.400E-01,	1.320E+00,	1.280E+00
266,	03:49:41,	269,	4.300E-01,	1.310E+00,	1.270E+00
267,	03:49:43,	270,	4.300E-01,	1.300E+00,	1.260E+00
268,	03:49:44,	271,	4.300E-01,	1.290E+00,	1.250E+00
269,	03:49:46,	272,	4.300E-01,	1.280E+00,	1.240E+00
270,	03:49:47,	273,	4.200E-01,	1.270E+00,	1.230E+00
271,	03:49:49,	274,	4.200E-01,	1.260E+00,	1.220E+00
272,	03:49:50,	275,	4.200E-01,	1.250E+00,	1.210E+00
