No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	01:21:31,	0,	2.400E-01,	5.030E-03,	1.140E-02
2,	01:21:33,	1,	2.400E-01,	5.020E-03,	1.150E-02
3,	01:21:34,	2,	2.400E-01,	5.010E-03,	1.150E-02
4,	01:21:36,	3,	2.400E-01,	5.010E-03,	1.150E-02
5,	01:21:37,	4,	2.400E-01,	5.010E-03,	1.150E-02
6,	01:21:38,	5,	2.400E-01,	5.010E-03,	1.150E-02
7,	01:21:40,	6,	2.400E-01,	5.010E-03,	1.140E-02
8,	01:21:41,	7,	2.400E-01,	5.020E-03,	1.150E-02
9,	01:21:42,	8,	2.400E-01,	5.020E-03,	1.150E-02
10,	01:21:43,	9,	2.400E-01,	5.020E-03,	1.150E-02
11,	01:21:45,	10,	2.400E-01,	5.020E-03,	1.150E-02
12,	01:21:46,	11,	2.400E-01,	4.740E-03,	8.120E-03
13,	01:21:47,	12,	2.100E-01,	2.220E-03,	3.880E-03
14,	01:21:49,	13,	1.800E-01,	1.090E-03,	2.140E-03
15,	01:21:50,	14,	1.400E-01,	5.880E-04,	1.290E-03
16,	01:21:51,	15,	9.800E-02,	3.920E-04,	7.660E-04
17,	01:21:53,	16,	8.200E-02,	2.670E-04,	5.160E-04
18,	01:21:54,	17,	6.800E-02,	1.800E-04,	3.600E-04
19,	01:21:55,	18,	5.000E-02,	1.200E-04,	2.580E-04
20,	01:21:56,	19,	4.300E-02,	8.130E-05,	1.880E-04
21,	01:21:58,	20,	3.700E-02,	5.710E-05,	1.370E-04
22,	01:21:59,	21,	3.000E-02,	4.140E-05,	1.030E-04
23,	01:22:00,	22,	2.700E-02,	3.140E-05,	8.320E-05
24,	01:22:02,	23,	2.500E-02,	2.490E-05,	7.060E-05
25,	01:22:03,	24,	2.300E-02,	2.020E-05,	5.920E-05
26,	01:22:04,	25,	2.100E-02,	1.680E-05,	5.060E-05
27,	01:22:06,	26,	2.000E-02,	1.470E-05,	4.470E-05
28,	01:22:07,	27,	2.000E-02,	1.340E-05,	4.050E-05
29,	01:22:08,	28,	2.000E-02,	1.230E-05,	3.780E-05
30,	01:22:09,	29,	1.900E-02,	1.160E-05,	3.570E-05
31,	01:22:11,	30,	1.900E-02,	1.100E-05,	3.420E-05
32,	01:22:12,	31,	1.900E-02,	1.050E-05,	3.430E-05
33,	01:22:13,	33,	1.800E-02,	1.020E-05,	3.330E-05
34,	01:22:15,	34,	1.800E-02,	7.930E-06,	3.240E-05
35,	01:22:16,	35,	1.800E-02,	7.730E-06,	3.160E-05
36,	01:22:17,	36,	1.800E-02,	7.550E-06,	3.090E-05
37,	01:22:19,	37,	1.800E-02,	7.400E-06,	3.040E-05
38,	01:22:20,	38,	1.800E-02,	7.260E-06,	2.980E-05
39,	01:22:21,	39,	1.800E-02,	7.130E-06,	2.940E-05
40,	01:22:23,	40,	1.800E-02,	7.020E-06,	2.890E-05
41,	01:22:24,	41,	1.800E-02,	6.890E-06,	2.840E-05
42,	01:22:25,	42,	1.800E-02,	6.800E-06,	2.800E-05
43,	01:22:27,	43,	1.800E-02,	6.700E-06,	2.760E-05
44,	01:22:28,	44,	1.800E-02,	6.600E-06,	2.720E-05
45,	01:22:29,	45,	1.800E-02,	6.510E-06,	2.680E-05
46,	01:22:31,	46,	1.800E-02,	6.430E-06,	2.650E-05
47,	01:22:32,	47,	1.800E-02,	6.350E-06,	2.620E-05
48,	01:22:33,	48,	1.800E-02,	6.260E-06,	2.590E-05
49,	01:22:34,	49,	1.800E-02,	6.200E-06,	2.570E-05
50,	01:22:36,	50,	1.800E-02,	6.130E-06,	2.540E-05
51,	01:22:37,	51,	1.800E-02,	6.060E-06,	2.520E-05
52,	01:22:38,	52,	1.800E-02,	5.990E-06,	2.490E-05
53,	01:22:40,	53,	1.800E-02,	5.930E-06,	2.470E-05
54,	01:22:41,	54,	1.800E-02,	5.880E-06,	2.450E-05
55,	01:22:42,	55,	1.800E-02,	5.820E-06,	2.430E-05
56,	01:22:44,	56,	1.800E-02,	5.770E-06,	2.410E-05
57,	01:22:45,	57,	1.800E-02,	5.710E-06,	2.390E-05
58,	01:22:46,	58,	1.800E-02,	5.660E-06,	2.370E-05
59,	01:22:48,	59,	1.800E-02,	5.620E-06,	2.350E-05
60,	01:22:49,	60,	1.800E-02,	5.580E-06,	2.330E-05
61,	01:22:50,	61,	1.800E-02,	5.540E-06,	2.310E-05
62,	01:22:52,	62,	1.800E-02,	5.490E-06,	2.300E-05
63,	01:22:53,	63,	1.800E-02,	5.450E-06,	2.280E-05
64,	01:22:54,	64,	1.800E-02,	5.400E-06,	2.270E-05
65,	01:22:56,	65,	1.800E-02,	5.360E-06,	2.250E-05
66,	01:22:57,	66,	1.800E-02,	5.330E-06,	2.240E-05
67,	01:22:58,	67,	1.800E-02,	5.280E-06,	2.220E-05
68,	01:23:00,	68,	1.800E-02,	5.250E-06,	2.210E-05
69,	01:23:01,	69,	1.800E-02,	5.210E-06,	2.200E-05
70,	01:23:02,	70,	1.800E-02,	5.170E-06,	2.190E-05
71,	01:23:04,	71,	1.800E-02,	5.140E-06,	2.170E-05
72,	01:23:05,	72,	1.800E-02,	5.110E-06,	2.160E-05
73,	01:23:06,	73,	1.800E-02,	5.080E-06,	2.150E-05
74,	01:23:08,	74,	1.800E-02,	5.050E-06,	2.140E-05
75,	01:23:09,	75,	1.800E-02,	5.020E-06,	2.130E-05
76,	01:23:10,	76,	1.700E-02,	5.000E-06,	2.120E-05
77,	01:23:12,	77,	1.800E-02,	4.970E-06,	2.110E-05
78,	01:23:13,	78,	1.800E-02,	4.950E-06,	2.100E-05
79,	01:23:15,	79,	1.800E-02,	4.930E-06,	2.090E-05
80,	01:23:16,	80,	1.700E-02,	4.890E-06,	2.070E-05
81,	01:23:17,	81,	1.700E-02,	4.870E-06,	2.070E-05
82,	01:23:19,	82,	1.700E-02,	4.850E-06,	2.060E-05
83,	01:23:20,	83,	1.700E-02,	4.830E-06,	2.040E-05
84,	01:23:21,	84,	1.700E-02,	4.810E-06,	2.040E-05
85,	01:23:23,	85,	1.700E-02,	4.780E-06,	2.030E-05
86,	01:23:24,	86,	1.700E-02,	4.750E-06,	2.010E-05
87,	01:23:25,	87,	1.700E-02,	4.740E-06,	2.000E-05
88,	01:23:27,	88,	1.700E-02,	4.710E-06,	1.990E-05
89,	01:23:28,	89,	1.900E-02,	4.690E-06,	1.980E-05
