No,	 time,		 sec,	 TPG202 [mbar],	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
1,	01:49:19,	0,	2.700E-02,	1.020E-04,	3.250E-04
2,	01:49:21,	1,	2.700E-02,	1.020E-04,	3.240E-04
3,	01:49:22,	2,	2.700E-02,	1.020E-04,	3.250E-04
4,	01:49:24,	3,	2.700E-02,	1.020E-04,	3.250E-04
5,	01:49:25,	4,	2.700E-02,	1.550E-04,	3.380E-04
6,	01:49:26,	5,	2.300E-02,	2.190E-04,	4.200E-04
7,	01:49:27,	6,	2.100E-02,	2.790E-04,	4.970E-04
8,	01:49:29,	7,	2.000E-02,	3.440E-04,	5.720E-04
9,	01:49:30,	8,	1.800E-02,	4.050E-04,	6.440E-04
10,	01:49:31,	9,	1.800E-02,	4.580E-04,	7.190E-04
11,	01:49:33,	10,	1.700E-02,	5.150E-04,	8.030E-04
12,	01:49:34,	11,	1.700E-02,	5.620E-04,	8.870E-04
13,	01:49:35,	12,	1.700E-02,	6.150E-04,	9.780E-04
14,	01:49:36,	13,	1.700E-02,	6.710E-04,	1.070E-03
15,	01:49:38,	14,	1.700E-02,	7.380E-04,	1.150E-03
16,	01:49:39,	15,	1.700E-02,	8.170E-04,	1.250E-03
17,	01:49:40,	16,	1.600E-02,	8.980E-04,	1.340E-03
18,	01:49:42,	17,	1.600E-02,	9.730E-04,	1.430E-03
19,	01:49:43,	18,	1.600E-02,	1.070E-03,	1.540E-03
20,	01:49:44,	19,	1.600E-02,	1.160E-03,	1.620E-03
21,	01:49:46,	20,	1.600E-02,	1.240E-03,	1.700E-03
22,	01:49:47,	21,	1.600E-02,	1.310E-03,	1.780E-03
23,	01:49:48,	22,	1.600E-02,	1.400E-03,	1.870E-03
24,	01:49:50,	23,	1.600E-02,	1.490E-03,	1.960E-03
25,	01:49:51,	24,	1.600E-02,	1.560E-03,	2.040E-03
26,	01:49:52,	25,	1.600E-02,	1.640E-03,	2.140E-03
27,	01:49:53,	26,	1.600E-02,	1.730E-03,	2.220E-03
28,	01:49:55,	27,	1.600E-02,	1.810E-03,	2.340E-03
29,	01:49:56,	28,	1.600E-02,	1.910E-03,	2.430E-03
30,	01:49:57,	29,	1.600E-02,	1.980E-03,	2.540E-03
31,	01:49:59,	30,	1.600E-02,	2.080E-03,	2.670E-03
32,	01:50:00,	31,	1.600E-02,	2.190E-03,	2.760E-03
33,	01:50:01,	33,	1.600E-02,	2.310E-03,	2.870E-03
34,	01:50:02,	34,	1.600E-02,	2.420E-03,	2.960E-03
35,	01:50:04,	35,	1.600E-02,	2.560E-03,	3.080E-03
36,	01:50:05,	36,	1.600E-02,	2.660E-03,	3.180E-03
37,	01:50:06,	37,	1.600E-02,	2.810E-03,	3.330E-03
38,	01:50:08,	38,	1.600E-02,	2.890E-03,	3.470E-03
39,	01:50:09,	39,	1.600E-02,	3.030E-03,	3.570E-03
40,	01:50:10,	40,	1.600E-02,	3.160E-03,	3.660E-03
41,	01:50:12,	41,	1.600E-02,	3.250E-03,	3.780E-03
42,	01:50:13,	42,	1.600E-02,	3.340E-03,	3.890E-03
43,	01:50:14,	43,	1.600E-02,	3.450E-03,	4.020E-03
44,	01:50:16,	44,	1.600E-02,	3.570E-03,	4.130E-03
45,	01:50:17,	45,	1.600E-02,	3.700E-03,	4.240E-03
46,	01:50:18,	46,	1.600E-02,	3.810E-03,	4.370E-03
47,	01:50:19,	47,	1.600E-02,	3.970E-03,	4.490E-03
48,	01:50:21,	48,	1.600E-02,	4.080E-03,	4.620E-03
49,	01:50:22,	49,	1.600E-02,	4.240E-03,	4.720E-03
50,	01:50:23,	50,	1.600E-02,	4.380E-03,	4.860E-03
51,	01:50:25,	51,	1.600E-02,	4.550E-03,	5.000E-03
52,	01:50:26,	52,	1.600E-02,	4.660E-03,	5.120E-03
53,	01:50:27,	53,	1.600E-02,	4.830E-03,	5.240E-03
54,	01:50:29,	54,	1.600E-02,	4.940E-03,	5.360E-03
55,	01:50:30,	55,	1.600E-02,	4.990E-03,	5.560E-03
56,	01:50:31,	56,	1.600E-02,	5.060E-03,	5.670E-03
57,	01:50:33,	57,	1.600E-02,	5.080E-03,	5.830E-03
58,	01:50:34,	58,	1.600E-02,	5.170E-03,	5.940E-03
59,	01:50:35,	59,	1.600E-02,	5.300E-03,	6.060E-03
60,	01:50:37,	60,	1.600E-02,	5.410E-03,	6.200E-03
61,	01:50:38,	61,	1.600E-02,	5.540E-03,	6.300E-03
62,	01:50:39,	62,	1.600E-02,	5.650E-03,	6.400E-03
63,	01:50:41,	63,	1.600E-02,	5.790E-03,	6.500E-03
64,	01:50:42,	64,	1.600E-02,	5.910E-03,	6.620E-03
65,	01:50:43,	65,	1.600E-02,	6.040E-03,	6.680E-03
66,	01:50:45,	66,	1.600E-02,	6.160E-03,	6.850E-03
67,	01:50:46,	67,	1.600E-02,	6.290E-03,	6.920E-03
68,	01:50:47,	68,	1.600E-02,	6.420E-03,	7.060E-03
69,	01:50:49,	69,	1.600E-02,	6.560E-03,	7.180E-03
70,	01:50:50,	70,	1.600E-02,	6.740E-03,	7.290E-03
71,	01:50:51,	71,	1.600E-02,	6.940E-03,	7.460E-03
72,	01:50:53,	72,	1.600E-02,	7.240E-03,	7.590E-03
73,	01:50:54,	73,	1.600E-02,	7.460E-03,	7.760E-03
74,	01:50:55,	74,	1.600E-02,	7.640E-03,	7.860E-03
75,	01:50:57,	75,	1.600E-02,	7.760E-03,	8.030E-03
76,	01:50:58,	76,	1.600E-02,	7.910E-03,	8.150E-03
77,	01:50:59,	77,	1.600E-02,	8.120E-03,	8.280E-03
78,	01:51:01,	78,	1.600E-02,	8.270E-03,	8.370E-03
79,	01:51:02,	79,	1.600E-02,	8.480E-03,	8.530E-03
80,	01:51:03,	80,	1.600E-02,	8.620E-03,	8.720E-03
81,	01:51:05,	81,	1.600E-02,	8.790E-03,	8.860E-03
82,	01:51:06,	82,	1.600E-02,	8.880E-03,	9.040E-03
83,	01:51:07,	83,	1.600E-02,	9.110E-03,	9.160E-03
84,	01:51:09,	84,	1.600E-02,	9.340E-03,	9.360E-03
85,	01:51:10,	85,	1.600E-02,	9.510E-03,	9.540E-03
86,	01:51:11,	86,	1.600E-02,	9.700E-03,	9.740E-03
87,	01:51:13,	87,	1.600E-02,	9.880E-03,	9.910E-03
88,	01:51:14,	88,	1.600E-02,	1.000E-02,	1.000E-02
89,	01:51:15,	89,	1.600E-02,	1.010E-02,	1.010E-02
90,	01:51:17,	90,	1.600E-02,	1.020E-02,	1.030E-02
91,	01:51:18,	91,	1.600E-02,	1.030E-02,	1.040E-02
92,	01:51:19,	92,	1.600E-02,	1.030E-02,	1.050E-02
93,	01:51:21,	93,	1.600E-02,	1.050E-02,	1.050E-02
94,	01:51:22,	94,	1.600E-02,	1.050E-02,	1.060E-02
95,	01:51:23,	95,	1.600E-02,	1.060E-02,	1.070E-02
96,	01:51:25,	96,	1.600E-02,	1.070E-02,	1.080E-02
97,	01:51:26,	98,	1.600E-02,	1.080E-02,	1.090E-02
98,	01:51:27,	99,	1.600E-02,	1.090E-02,	1.100E-02
99,	01:51:29,	100,	1.600E-02,	1.100E-02,	1.110E-02
100,	01:51:30,	101,	1.600E-02,	1.100E-02,	1.120E-02
101,	01:51:31,	102,	1.600E-02,	1.110E-02,	1.130E-02
102,	01:51:33,	103,	1.600E-02,	1.120E-02,	1.140E-02
103,	01:51:34,	104,	1.600E-02,	1.140E-02,	1.150E-02
104,	01:51:35,	105,	1.600E-02,	1.150E-02,	1.160E-02
105,	01:51:37,	106,	1.600E-02,	1.160E-02,	1.170E-02
106,	01:51:38,	107,	1.600E-02,	1.170E-02,	1.180E-02
107,	01:51:40,	108,	1.600E-02,	1.180E-02,	1.180E-02
108,	01:51:41,	109,	1.600E-02,	1.190E-02,	1.190E-02
109,	01:51:42,	110,	1.600E-02,	1.190E-02,	1.200E-02
110,	01:51:44,	111,	1.600E-02,	1.200E-02,	1.210E-02
111,	01:51:45,	112,	1.600E-02,	1.200E-02,	1.220E-02
112,	01:51:46,	113,	1.600E-02,	1.220E-02,	1.230E-02
113,	01:51:48,	114,	1.600E-02,	1.220E-02,	1.240E-02
114,	01:51:49,	115,	1.600E-02,	1.230E-02,	1.250E-02
115,	01:51:50,	116,	1.600E-02,	1.250E-02,	1.260E-02
116,	01:51:52,	117,	1.700E-02,	1.260E-02,	1.270E-02
117,	01:51:53,	118,	1.600E-02,	1.270E-02,	1.290E-02
118,	01:51:55,	119,	1.600E-02,	1.280E-02,	1.300E-02
119,	01:51:56,	120,	1.600E-02,	1.290E-02,	1.310E-02
120,	01:51:57,	121,	1.600E-02,	1.310E-02,	1.320E-02
121,	01:51:59,	122,	1.700E-02,	1.310E-02,	1.330E-02
122,	01:52:00,	123,	1.600E-02,	1.330E-02,	1.340E-02
123,	01:52:02,	124,	1.600E-02,	1.330E-02,	1.350E-02
124,	01:52:03,	125,	1.600E-02,	1.350E-02,	1.360E-02
125,	01:52:04,	126,	1.600E-02,	1.370E-02,	1.370E-02
126,	01:52:06,	127,	1.600E-02,	1.380E-02,	1.380E-02
127,	01:52:07,	128,	1.600E-02,	1.380E-02,	1.390E-02
128,	01:52:09,	129,	1.600E-02,	1.390E-02,	1.400E-02
129,	01:52:10,	130,	1.600E-02,	1.410E-02,	1.410E-02
